Unnamed: 0,KAN,IND
First Downs,16,23
Rush-Yds-TDs,27-113-0,31-97-1
Cmp-Att-Yd-TD-INT,16-29-156-0-0,26-44-244-0-1
Sacked-Yards,1-8,1-0
Net Pass Yards,148,244
Total Yards,261,341
Fumbles-Lost,2-1,1-0
Turnovers,1,1
Penalties-Yards,4-38,5-45
Third Down Conv.,1-10,8-17
Fourth Down Conv.,1-2,0-1
Time of Possession,25:35,34:25
