Quarter,Time,Down,ToGo,Location,KAN,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,Ryan Succop kicks onside 7 yards. Penalty on Javier Arenas: Illegal Touch Kick,0.000,3.120
1,15:00,1,10,KAN 37,0,0,Joseph Addai right tackle for 3 yards (tackle by Tamba Hali),3.120,2.980
1,14:21,2,7,KAN 34,0,0,Peyton Manning pass complete short right to Joseph Addai for 5 yards (tackle by Jon McGraw and Brandon Flowers),2.980,2.940
1,13:36,3,2,KAN 29,0,0,Joseph Addai left tackle for 6 yards (tackle by Mike Vrabel),2.940,4.040
1,12:59,1,10,KAN 23,0,0,Joseph Addai middle for 9 yards (tackle by Kendrick Lewis and Brandon Carr),4.040,4.950
1,12:21,2,1,KAN 14,0,0,Joseph Addai left tackle for 11 yards (tackle by Kendrick Lewis),4.950,6.510
1,11:36,1,3,KAN 3,0,0,Joseph Addai right guard for 2 yards (tackle by Tamba Hali and Jon McGraw),6.510,5.910
1,10:58,2,1,KAN 1,0,0,Joseph Addai right guard for -1 yards (tackle by Derrick Johnson and Andy Studebaker),5.910,4.950
1,10:13,3,2,KAN 2,0,0,Peyton Manning pass incomplete short left intended for Reggie Wayne (defended by Brandon Carr),4.950,3.250
1,10:08,4,2,KAN 2,0,3,Adam Vinatieri 20 yard field goal good,3.250,3.000
1,,,,IND 30,0,3,"Pat McAfee kicks off 72 yards, returned by Dexter McCluster for 21 yards (tackle by Blair White)",0.000,0.150
1,9:59,1,10,KAN 19,0,3,Thomas Jones right end for 2 yards (tackle by Clint Session and Robert Mathis),0.150,-0.060
1,9:21,2,8,KAN 21,0,3,Matt Cassel pass complete short left to Terrance Copper for 5 yards (tackle by Jerraud Powers),-0.060,-0.160
1,8:39,3,3,KAN 26,0,3,Matt Cassel pass complete short left to Dexter McCluster for 8 yards (tackle by Deshea Townsend),-0.160,1.200
1,8:09,1,10,KAN 34,0,3,Thomas Jones left tackle for 8 yards (tackle by Philip Wheeler and Gary Brackett),1.200,1.740
1,7:35,2,2,KAN 42,0,3,Jamaal Charles left tackle for 7 yards (tackle by Keyunta Dawson and Robert Mathis),1.740,2.190
1,7:01,1,10,KAN 49,0,3,Thomas Jones left tackle for 5 yards (tackle by Antoine Bethea),2.190,2.320
1,6:29,2,5,IND 46,0,3,Jamaal Charles left end for 8 yards (tackle by Jerraud Powers),2.320,3.050
1,5:52,1,10,IND 38,0,3,Matt Cassel pass incomplete short right intended for Jamaal Charles,3.050,2.510
1,5:48,2,10,IND 38,0,3,Jamaal Charles left end for 11 yards (tackle by Jerraud Powers),2.510,3.780
1,5:17,1,10,IND 27,0,3,"Thomas Jones right end for -5 yards (tackle by Robert Mathis). Penalty on Antonio Johnson: Defensive Offside, 5 yards (no play)",3.780,4.510
1,4:52,1,5,IND 22,0,3,Tim Castille middle for 3 yards (tackle by Gary Brackett and Clint Session),4.510,4.350
1,4:22,2,2,IND 19,0,3,Dexter McCluster right tackle for 3 yards (tackle by Robert Mathis and Clint Session),4.350,4.510
1,3:42,1,10,IND 16,0,3,Matt Cassel pass incomplete deep left intended for Terrance Copper,4.510,3.900
1,3:36,2,10,IND 16,0,3,Jamaal Charles middle for 6 yards (tackle by Philip Wheeler),3.900,4.170
1,2:56,3,4,IND 10,0,3,Jamaal Charles left end for 2 yards (tackle by Clint Session),4.170,2.990
1,2:09,,,,0,3,Timeout #1 by Kansas City Chiefs,0.000,2.990
1,2:09,4,2,IND 8,0,3,Matt Cassel pass incomplete short right intended for Dwayne Bowe (defended by Gary Brackett),2.990,0.380
1,2:04,1,10,IND 8,0,3,Joseph Addai middle for 7 yards (tackle by Glenn Dorsey and Jovan Belcher),-0.380,-0.210
1,1:33,2,3,IND 15,0,3,Joseph Addai right tackle for 4 yards (tackle by Glenn Dorsey and Derrick Johnson),-0.210,0.150
1,0:49,1,10,IND 19,0,3,Joseph Addai left end for 2 yards (tackle by Mike Vrabel and Jovan Belcher),0.150,-0.060
1,0:05,2,8,IND 21,0,3,Peyton Manning pass complete short right to Pierre Garcon for 6 yards (tackle by Javier Arenas),-0.060,-0.030
Quarter,Time,Down,ToGo,Location,KAN,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,IND 27,0,3,Mike Hart left guard for 3 yards (tackle by Derrick Johnson),-0.030,0.940
2,14:18,1,10,IND 30,0,3,Peyton Manning pass complete deep left to Reggie Wayne for 24 yards,0.940,2.520
2,13:47,1,10,KAN 46,0,3,Joseph Addai middle for 1 yard (tackle by Jovan Belcher and Derrick Johnson),2.520,2.110
2,13:03,2,9,KAN 45,0,3,Peyton Manning pass complete short left to Joseph Addai for 12 yards (tackle by Derrick Johnson),2.110,3.380
2,12:25,1,10,KAN 33,0,3,Joseph Addai right guard for 3 yards (tackle by Tamba Hali and Glenn Dorsey),3.380,3.240
2,11:55,2,7,KAN 30,0,3,Peyton Manning pass complete short right to Pierre Garcon for 13 yards (tackle by Eric Berry),3.240,4.440
2,11:10,1,10,KAN 17,0,3,Peyton Manning pass incomplete short right intended for Joseph Addai,4.440,3.850
2,11:06,2,10,KAN 17,0,3,Peyton Manning pass complete short left to Reggie Wayne for 10 yards (tackle by Brandon Carr and Kendrick Lewis),3.850,5.600
