Quarter,Time,Tm,Detail,JAX,DAL
2.0,10:18,Jaguars,"Safety,",2,0
,2:17,Cowboys,Joey Galloway 43 yard pass from Chad Hutchinson (Billy Cundiff kick),2,7
,0:00,Jaguars,Tim Seder 31 yard field goal,5,7
3.0,4:15,Cowboys,Emmitt Smith 1 yard rush (Billy Cundiff kick),5,14
4.0,14:16,Jaguars,Stacey Mack 3 yard rush (Tim Seder kick),12,14
,11:09,Cowboys,Joey Galloway 11 yard pass from Chad Hutchinson (Billy Cundiff kick),12,21
,1:54,Jaguars,Kevin Lockett 8 yard pass from Mark Brunell (Tim Seder kick),19,21
