Quarter,Time,Down,ToGo,Location,JAX,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Tim Seder kicks off 64 yards, returned by Michael Wiley for 14 yards (tackle by Micah Ross)",0.000,0.280
1,14:55,1,10,DAL 20,0,0,Emmitt Smith middle for 5 yards (tackle by Wali Rainer),0.280,0.410
1,14:20,2,5,DAL 25,0,0,Chad Hutchinson pass complete to Antonio Bryant for 12 yards (tackle by Fernando Bryant),0.410,1.400
1,14:02,1,10,DAL 37,0,0,Chad Hutchinson pass complete to Joey Galloway for 49 yards (tackle by Donovin Darius),1.400,4.650
1,13:11,1,10,JAX 14,0,0,Chad Hutchinson pass incomplete intended for Michael Wiley,4.650,4.000
1,13:06,2,10,JAX 14,0,0,Emmitt Smith middle for no gain (tackle by T.J. Slaughter),4.000,3.110
1,12:26,3,10,JAX 14,0,0,Chad Hutchinson pass incomplete intended for Joey Galloway,3.110,2.510
1,12:22,4,10,JAX 14,0,0,Billy Cundiff 33 yard field goal no good,2.510,-0.480
1,12:17,1,10,JAX 23,0,0,"Mark Brunell pass complete to Jimmy Smith for 27 yards. Penalty on Jimmy Smith: Offensive Pass Interference, 10 yards (no play)",0.480,-0.590
1,12:13,1,20,JAX 13,0,0,Fred Taylor left end for 5 yards (tackle by Brandon Noble),-0.590,-0.840
1,11:26,2,15,JAX 18,0,0,Mark Brunell pass incomplete intended for Jimmy Smith,-0.840,-1.560
1,11:20,3,15,JAX 18,0,0,Mark Brunell pass complete to Jimmy Smith for 16 yards (tackle by Roy Williams),-1.560,1.200
1,10:30,1,10,JAX 34,0,0,Fred Taylor right end for -1 yards (tackle by Derek Ross),1.200,0.520
1,9:46,2,11,JAX 33,0,0,Mark Brunell pass incomplete intended for Kevin Lockett,0.520,-0.160
1,9:39,2,11,JAX 33,,,Timeout #1 by Jacksonville Jaguars,0.520,-0.160
1,9:39,3,11,JAX 33,0,0,Mark Brunell right end for 10 yards (tackle by Greg Ellis),-0.160,-0.520
1,8:56,4,1,JAX 43,0,0,"Chris Hanson punts 45 yards, fair catch by Reggie Swinton",-0.520,0.350
1,8:43,1,10,DAL 12,0,0,Emmitt Smith left tackle for 1 yard (tackle by T.J. Slaughter),-0.350,-0.700
1,8:05,2,9,DAL 13,0,0,Emmitt Smith left end for 6 yards (tackle by Rob Meier),-0.700,-0.600
1,7:23,3,3,DAL 19,0,0,Chad Hutchinson pass incomplete intended for Joey Galloway (defended by Robert Bean),-0.600,-2.140
1,7:18,4,3,DAL 19,0,0,"Filip Filipovic punts 58 yards. Penalty on Randal Williams: Illegal Touch Kick, 5 yards (no play)",-2.140,-2.470
1,6:52,4,8,DAL 14,0,0,"Filip Filipovic punts 42 yards. Penalty on Ainsley Battles: Offensive Holding, 10 yards",-2.470,-1.200
1,6:52,1,10,JAX 34,0,0,Fred Taylor middle for 4 yards (tackle by La'Roi Glover),1.200,1.200
1,6:15,2,6,JAX 38,0,0,Mark Brunell pass complete to Fred Taylor for 7 yards (tackle by Peppi Zellner),1.200,1.930
1,5:35,1,10,JAX 45,0,0,Fred Taylor middle for 3 yards (tackle by La'Roi Glover),1.930,1.790
1,4:54,2,7,JAX 48,0,0,Mark Brunell pass incomplete intended for Bobby Shaw (defended by Peppi Zellner),1.790,1.090
1,4:49,3,7,JAX 48,0,0,"Penalty on Chris Naeole: False Start, 5 yards (no play)",1.090,0.430
1,4:49,3,12,JAX 43,0,0,Mark Brunell left end for 7 yards (tackle by Pete Hunter),0.430,-0.060
1,4:26,4,5,,0,0,Chris Hanson punts 38 yards,-0.060,0.350
1,4:16,1,10,DAL 12,0,0,Chad Hutchinson pass complete to Troy Hambrick for 6 yards (tackle by Paul Spicer),-0.350,-0.070
1,3:40,2,4,DAL 18,0,0,Troy Hambrick left end for 14 yards (tackle by Jason Craft),-0.070,1.070
1,3:15,1,10,DAL 32,0,0,Chad Hutchinson pass complete to Troy Hambrick for 13 yards (tackle by Paul Spicer),1.070,1.930
1,2:34,1,10,DAL 45,0,0,Emmitt Smith left tackle for 7 yards (tackle by Marco Coleman),1.930,2.330
1,1:57,2,3,JAX 48,0,0,Troy Hambrick right tackle for 9 yards (tackle by Marlon McCree and Donovin Darius),2.330,2.980
1,1:15,1,10,JAX 39,0,0,Robert Thomas left guard for 1 yard (tackle by Akin Ayodele),2.980,2.580
1,0:40,2,9,JAX 38,0,0,"Chad Hutchinson pass complete to Troy Hambrick for 14 yards (tackle by Akin Ayodele). Troy Hambrick fumbles (forced by Akin Ayodele), recovered by Ainsley Battles at JAX-21. Penalty on Joey Galloway: Illegal Block Above the Waist (Declined)",2.580,-0.340
1,0:27,1,10,JAX 21,0,0,Fred Taylor left tackle for 6 yards (tackle by Dexter Coakley),0.340,0.610
Quarter,Time,Down,ToGo,Location,JAX,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,JAX 27,0,0,"Penalty on Pete Mitchell: False Start, 5 yards (no play)",0.610,-0.070
2,15:00,2,9,JAX 22,0,0,Fred Taylor middle for 4 yards (tackle by Michael Myers),-0.070,-0.230
2,14:18,3,5,JAX 26,0,0,"Penalty on Mike Pearson: False Start, 5 yards (no play)",-0.230,-0.890
2,13:49,3,10,JAX 21,0,0,Fred Taylor left tackle for 5 yards (tackle by Dexter Coakley),-0.890,-1.630
2,13:15,4,5,JAX 26,0,0,"Chris Hanson punts 53 yards, returned by Reggie Swinton for 10 yards. Penalty on Derek Ross: Offensive Holding, 10 yards",-1.630,-0.340
2,13:03,1,10,DAL 21,0,0,Emmitt Smith left tackle for 3 yards (tackle by T.J. Slaughter and Wali Rainer),0.340,0.210
2,12:26,2,7,DAL 24,0,0,Antonio Bryant left end for 3 yards (tackle by Fernando Bryant),0.210,-0.100
2,11:43,3,4,DAL 27,0,0,Chad Hutchinson pass incomplete (defended by Marcus Stroud),-0.100,-1.570
2,11:39,4,4,DAL 27,0,0,"Filip Filipovic punts 46 yards, returned by Bobby Shaw for 25 yards (tackle by Markus Steele)",-1.570,-2.390
2,11:20,1,10,DAL 48,0,0,Mark Brunell pass incomplete intended for Jimmy Smith,2.390,1.850
2,11:19,2,10,DAL 48,0,0,Fred Taylor left tackle for 7 yards (tackle by Greg Ellis),1.850,2.080
2,10:41,3,3,DAL 41,0,0,Mark Brunell pass incomplete intended for Bobby Shaw,2.080,0.530
2,10:35,4,3,DAL 41,0,0,"Chris Hanson punts 36 yards, returned by Reggie Swinton for 1 yard (tackle by Wali Rainer)",0.530,0.380
2,10:25,1,10,DAL 6,2,0,"Chad Hutchinson sacked by Paul Spicer for -6 yards. Chad Hutchinson fumbles (forced by Paul Spicer), recovered by Ross Tucker at DAL-0, safety",-0.380,-2.000
2,10:25,1,10,DAL 6,2,0,--,-0.380,0.000
