Unnamed: 0,JAX,DAL
First Downs,19,21
Rush-Yds-TDs,26-132-1,31-118-1
Cmp-Att-Yd-TD-INT,22-40-202-1-1,16-24-301-2-2
Sacked-Yards,2-8,3-14
Net Pass Yards,194,287
Total Yards,326,405
Fumbles-Lost,2-2,2-1
Turnovers,3,3
Penalties-Yards,11-79,10-75
Third Down Conv.,5-14,2-9
Fourth Down Conv.,2-2,0-0
Time of Possession,27:52,32:08
