Quarter,Time,Down,ToGo,Location,PIT,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Wade Richey kicks off 68 yards, returned by Lee Mays for 20 yards (tackle by Ovie Mughelli)",0.000,0.410
1,14:55,1,10,PIT 22,0,0,Tommy Maddox pass complete to Jerame Tuman for 8 yards (tackle by Ray Lewis),0.410,0.950
1,14:24,2,2,PIT 30,0,0,Jerome Bettis left tackle for no gain (tackle by Marques Douglas and Will Demps),0.950,0.230
1,13:47,3,2,PIT 30,0,0,Tommy Maddox pass incomplete (defended by Anthony Weaver),0.230,-1.370
1,13:40,4,2,PIT 30,0,0,"Josh Miller punts 43 yards, returned by Lamont Brightful for 10 yards (tackle by Chidi Iwuoma)",-1.370,-1.400
1,13:28,1,10,BAL 37,0,0,Jamal Lewis right tackle for 6 yards (tackle by Brent Alexander),1.400,1.670
1,12:54,2,4,BAL 43,0,0,Jamal Lewis up the middle for 3 yards (tackle by Kendrell Bell),1.670,1.360
1,12:13,3,1,BAL 46,0,0,Alan Ricard up the middle for 4 yards (tackle by Jason Gildon),1.360,2.260
1,11:37,1,10,BAL 50,0,0,Jamal Lewis right tackle for 8 yards (tackle by Mike Logan and Jason Gildon),2.260,2.790
1,10:48,,,,0,0,Timeout #1 by Baltimore Ravens,0.000,2.790
1,10:48,2,2,PIT 42,0,0,Anthony Wright pass complete to Alan Ricard for 10 yards (tackle by Joey Porter),2.790,3.450
1,10:10,1,10,PIT 32,0,0,Jamal Lewis right guard for 19 yards (tackle by Mike Logan),3.450,4.710
1,9:35,1,10,PIT 13,0,0,Jamal Lewis left tackle for 3 yards (tackle by Dewayne Washington and James Farrior),4.710,4.580
1,8:48,2,7,PIT 10,0,0,Chester Taylor right tackle for no gain (tackle by Kendrell Bell and Troy Polamalu),4.580,3.650
1,8:08,3,7,PIT 10,0,0,Anthony Wright pass incomplete intended for Todd Heap is intercepted by Deshea Townsend,3.650,-0.280
