Quarter,Time,Tm,Detail,PIT,BAL
1,6:40,Ravens,Jamal Lewis 25 yard rush (Matt Stover kick),0,7
3,7:45,Steelers,Chris Hope 81 yard pass from Josh Miller (Jeff Reed kick),7,7
,2:30,Steelers,Jeff Reed 42 yard field goal,10,7
4,13:35,Ravens,Matt Stover 46 yard field goal,10,10
OT,11:32,Ravens,Matt Stover 47 yard field goal,10,13
