Unnamed: 0,PIT,BAL
First Downs,9,14
Rush-Yds-TDs,27-56-0,34-128-1
Cmp-Att-Yd-TD-INT,15-29-189-1-3,16-27-163-0-1
Sacked-Yards,5-31,2-12
Net Pass Yards,158,151
Total Yards,214,279
Fumbles-Lost,2-2,1-1
Turnovers,5,2
Penalties-Yards,3-40,10-55
Third Down Conv.,3-15,4-16
Fourth Down Conv.,1-3,0-0
Time of Possession,30:25,33:03
