Quarter,Time,Tm,Detail,PHI,LVR
1.0,11:01,Eagles,Kenneth Gainwell 13 yard pass from Jalen Hurts (Jake Elliott kick),7,0
2.0,11:14,Raiders,Foster Moreau 18 yard pass from Derek Carr (Daniel Carlson kick),7,7
,1:38,Raiders,Josh Jacobs 8 yard rush (Daniel Carlson kick),7,14
,0:02,Raiders,Daniel Carlson 28 yard field goal,7,17
3.0,11:48,Raiders,Kenyan Drake 4 yard rush (Daniel Carlson kick),7,24
,6:15,Raiders,Bryan Edwards 1 yard pass from Derek Carr (Daniel Carlson kick failed),7,30
4.0,11:38,Eagles,Boston Scott 1 yard rush (Jake Elliott kick),14,30
,7:17,Raiders,Daniel Carlson 39 yard field goal,14,33
,3:50,Eagles,Jalen Reagor 17 yard pass from Jalen Hurts (Dallas Goedert pass from Jalen Hurts),22,33
