Unnamed: 0,MIN,CHI
First Downs,19,20
Rush-Yds-TDs,33-140-1,26-80-1
Cmp-Att-Yd-TD-INT,16-28-234-1-2,20-33-297-2-1
Sacked-Yards,1-6,1-9
Net Pass Yards,228,288
Total Yards,368,368
Fumbles-Lost,2-1,1-1
Turnovers,3,2
Penalties-Yards,8-52,4-33
Third Down Conv.,5-13,7-13
Fourth Down Conv.,0-0,0-0
Time of Possession,31:31,28:29
