Quarter,Time,Tm,Detail,MIN,CHI
1.0,6:15,Vikings,Doug Brien 30 yard field goal,3,0
,1:03,Bears,Marty Booker 29 yard pass from Jim Miller (Paul Edinger kick),3,7
2.0,13:32,Vikings,Daunte Culpepper 2 yard rush (Doug Brien kick),10,7
,9:19,Bears,Paul Edinger 49 yard field goal,10,10
,3:30,Vikings,Doug Brien 22 yard field goal,13,10
,0:55,Vikings,Randy Moss 33 yard pass from Daunte Culpepper (Doug Brien kick),20,10
3.0,10:28,Bears,Paul Edinger 49 yard field goal,20,13
4.0,9:07,Vikings,Doug Brien 42 yard field goal,23,13
,6:13,Bears,Anthony Thomas 1 yard rush (Paul Edinger kick),23,20
,0:28,Bears,David Terrell 9 yard pass from Jim Miller (Paul Edinger kick),23,27
