Unnamed: 0,NYG,MIN
First Downs,28,21
Rush-Yds-TDs,30-142-2,16-61-1
Cmp-Att-Yd-TD-INT,24-35-301-2-0,32-40-271-2-0
Sacked-Yards,3-12,0-0
Net Pass Yards,289,271
Total Yards,431,332
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,5-45,3-12
Third Down Conv.,7-13,4-10
Fourth Down Conv.,2-2,1-2
Time of Possession,33:36,26:24
