Quarter,Time,Tm,Detail,NYG,MIN
1.0,8:23,Vikings,Kirk Cousins 1 yard rush (Greg Joseph kick),0,7
,5:11,Giants,Saquon Barkley 28 yard rush (Graham Gano kick),7,7
,1:03,Giants,Isaiah Hodgins 14 yard pass from Daniel Jones (Graham Gano kick),14,7
2.0,3:25,Giants,Graham Gano 25 yard field goal,17,7
,0:45,Vikings,K.J. Osborn 9 yard pass from Kirk Cousins (Greg Joseph kick),17,14
3.0,11:37,Giants,Daniel Bellinger 9 yard pass from Daniel Jones (Graham Gano kick),24,14
,7:46,Vikings,Irv Smith Jr. 3 yard pass from Kirk Cousins (Greg Joseph kick),24,21
4.0,12:34,Vikings,Greg Joseph 38 yard field goal,24,24
,7:47,Giants,Saquon Barkley 2 yard rush (Graham Gano kick),31,24
