Unnamed: 0,OAK,PIT
First Downs,18,17
Rush-Yds-TDs,22-61-0,33-107-3
Cmp-Att-Yd-TD-INT,20-37-305-2-2,13-22-142-0-0
Sacked-Yards,3-8,2-12
Net Pass Yards,297,130
Total Yards,358,237
Fumbles-Lost,5-2,2-1
Turnovers,4,1
Penalties-Yards,5-31,3-20
Third Down Conv.,5-14,6-12
Fourth Down Conv.,2-2,0-0
Time of Possession,30:43,29:17
