Quarter,Time,Down,ToGo,Location,CIN,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Cade York kicks off 67 yards, returned by Chris Evans for 16 yards (tackle by D'Anthony Bell)",0.000,-0.280
1,14:56,1,10,CIN 14,0,0,Joe Burrow pass complete short left to Joe Mixon for 8 yards (tackle by Martin Emerson) (no play),-0.280,0.530
1,14:34,1,5,CIN 19,0,0,Joe Mixon left guard for 4 yards (tackle by Sione Takitaki and Martin Emerson),0.530,0.550
1,14:00,2,1,CIN 23,0,0,Joe Mixon right guard for 2 yards (tackle by Grant Delpit),0.550,0.610
1,13:22,1,10,CIN 25,0,0,Joe Burrow pass complete short right to Joe Mixon for 5 yards (tackle by Martin Emerson),0.610,0.740
1,12:42,2,5,CIN 30,0,0,Joe Burrow pass incomplete short left intended for Tyler Boyd,0.740,0.040
1,12:38,3,5,CIN 30,0,0,Joe Burrow pass complete deep right to Chris Evans for 26 yards (tackle by Deion Jones),0.040,2.650
1,12:23,1,10,CLE 44,0,0,Joe Burrow pass incomplete deep left intended for Tee Higgins,2.650,2.110
1,12:18,2,10,CLE 44,0,0,Joe Burrow pass complete short right to Mitchell Wilcox for 3 yards (tackle by Greg Newsome),2.110,1.820
1,11:33,3,7,CLE 41,0,0,Joe Burrow pass complete short right to Tyler Boyd for 14 yards (tackle by Martin Emerson),1.820,3.780
1,10:51,1,10,CLE 27,0,0,Joe Burrow pass short left (defended by Myles Garrett) intended for Tee Higgins is intercepted by A.J. Green at CLE-16 and returned for no gain (tackle by Mike Thomas),3.780,0.140
1,10:47,1,10,CLE 16,0,0,Nick Chubb right tackle for 6 yards (tackle by Zachary Carter),-0.140,0.280
1,10:06,2,4,CLE 22,0,0,Jacoby Brissett pass complete short left to Michael Woods for 6 yards (tackle by Chidobe Awuzie),0.280,0.810
1,9:31,1,10,CLE 28,0,0,Jacoby Brissett pass complete deep right to Donovan Peoples-Jones for 37 yards (tackle by Cam Taylor-Britt),0.810,3.250
1,8:56,1,10,CIN 35,0,0,Nick Chubb right tackle for 1 yard (tackle by Sam Hubbard and B.J. Hill),3.250,2.840
1,8:16,2,9,CIN 34,0,0,"Nick Chubb left tackle for no gain (tackle by Logan Wilson). Penalty on Jedrick Wills: Offensive Holding, 10 yards (accepted) (no play)",2.840,1.490
1,7:55,2,19,CIN 44,0,0,Jacoby Brissett sacked by and Trey Hendrickson for no gain and Sam Hubbard for no gain,1.490,0.830
1,7:07,3,19,CIN 44,0,0,Jacoby Brissett pass complete short right to Kareem Hunt for 9 yards (tackle by Vonn Bell),0.830,0.970
1,6:23,4,10,CIN 35,0,0,Cade York 53 yard field goal no good blocked by B.J. Hill,0.970,-1.800
1,6:10,1,10,CIN 43,0,0,Joe Burrow pass complete short right to Joe Mixon for 2 yards (tackle by Sione Takitaki),1.800,1.520
1,5:36,2,8,CIN 45,0,0,Joe Burrow pass complete short right to Joe Mixon for -2 yards (tackle by Sione Takitaki),1.520,0.560
1,4:54,3,10,CIN 43,0,0,Joe Burrow pass complete short left to Tyler Boyd for 11 yards,0.560,2.520
1,4:19,1,10,CLE 46,0,0,Joe Mixon left tackle for no gain (tackle by Grant Delpit and Martin Emerson),2.520,1.980
1,3:35,2,10,CLE 46,0,0,Joe Burrow pass complete short left to Samaje Perine for no gain (tackle by Martin Emerson and Sione Takitaki),1.980,1.290
1,2:52,3,10,CLE 46,0,0,Joe Burrow sacked by Myles Garrett for -8 yards,1.290,-0.320
1,2:15,4,18,CIN 46,0,0,Kevin Huber punts 23 yards out of bounds,-0.320,-1.000
1,2:08,1,10,CLE 31,0,0,Jacoby Brissett pass complete short right to David Bell for 13 yards (tackle by Cam Taylor-Britt),1.000,1.860
1,1:38,1,10,CLE 44,0,0,Amari Cooper pass deep right intended for Michael Woods is intercepted by Vonn Bell at CIN-38 and returned for 10 yards,1.860,-2.130
1,1:30,1,10,CIN 48,0,0,Joe Mixon right guard for 2 yards (tackle by Taven Bryan and Sione Takitaki),2.130,1.850
1,0:50,2,8,CLE 50,0,0,Joe Burrow pass incomplete short middle intended for Mike Thomas,1.850,1.160
1,0:45,3,8,CLE 50,0,0,Joe Burrow pass complete short left to Samaje Perine for 4 yards (tackle by John Johnson),1.160,0.200
Quarter,Time,Down,ToGo,Location,CIN,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,4,CLE 46,0,0,"Kevin Huber punts 33 yards, fair catch by Donovan Peoples-Jones at CLE-13",0.200,0.320
2,14:54,1,10,CLE 13,0,0,Kareem Hunt left tackle for 9 yards (tackle by Zachary Carter and Jessie Bates),-0.320,0.490
2,14:14,2,1,CLE 22,0,0,Jacoby Brissett up the middle for 3 yards (tackle by Germaine Pratt and Trey Hendrickson),0.490,0.610
2,13:44,1,10,CLE 25,0,0,Kareem Hunt right guard for -1 yards (tackle by Sam Hubbard and Trey Hendrickson),0.610,-0.070
2,13:17,2,11,CLE 24,0,0,Jacoby Brissett pass complete short right to Kareem Hunt for 4 yards (tackle by Cam Taylor-Britt and Sam Hubbard),-0.070,-0.230
2,12:35,3,7,CLE 28,0,0,"Jacoby Brissett pass complete deep middle to Amari Cooper for 17 yards (tackle by Chidobe Awuzie) CIN challenged the pass completion ruling, and the original play was overturned. Jacoby Brissett pass incomplete deep middle intended for Amari Cooper",-0.230,-1.500
2,12:31,4,7,CLE 28,0,0,"Corey Bojorquez punts 57 yards, returned by Trent Taylor for 15 yards (tackle by Tony Fields and John Johnson)",-1.500,-0.940
2,12:20,1,10,CIN 30,0,0,Joe Burrow pass complete short left to Tee Higgins for 3 yards (tackle by Sione Takitaki),0.940,0.800
2,11:42,2,7,CIN 33,0,0,Joe Burrow pass complete short middle to Trent Taylor for 5 yards (tackle by Jordan Kunaszyk),0.800,0.760
2,11:01,3,2,CIN 38,0,0,Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Martin Emerson),0.760,-0.850
2,10:56,4,2,CIN 38,0,0,"Kevin Huber punts 40 yards, fair catch by Donovan Peoples-Jones at CLE-22",-0.850,-0.410
2,10:49,1,10,CLE 22,0,0,Nick Chubb right tackle for 2 yards (tackle by Germaine Pratt and Joseph Ossai),0.410,0.140
2,10:11,2,8,CLE 24,0,0,Kareem Hunt left end for 3 yards (tackle by Logan Wilson and Joseph Ossai),0.140,-0.160
2,9:24,3,5,CLE 27,0,0,Jacoby Brissett pass complete deep right to Amari Cooper for 29 yards (tackle by Sam Hubbard),-0.160,2.650
2,8:48,1,10,CIN 44,0,0,Nick Chubb right guard for 8 yards (tackle by Mike Hilton),2.650,3.190
2,8:18,2,2,CIN 36,0,0,Nick Chubb right guard for 4 yards (tackle by Chidobe Awuzie),3.190,3.450
2,7:37,1,10,CIN 32,0,0,Nick Chubb right guard for no gain (tackle by Jessie Bates and Cameron Sample),3.450,2.900
2,6:58,2,10,CIN 32,0,0,Jacoby Brissett pass complete short right to Donovan Peoples-Jones for 6 yards (tackle by Cam Taylor-Britt),2.900,3.010
2,6:17,3,4,CIN 26,0,0,Jacoby Brissett pass complete deep left to Amari Cooper for 18 yards (tackle by Mike Hilton),3.010,5.370
2,5:37,1,8,CIN 8,0,0,Jacoby Brissett pass complete short left to Kareem Hunt for 5 yards (tackle by Germaine Pratt),5.370,5.530
2,5:07,,,,,,Timeout #1 by Cleveland Browns,,
2,5:07,2,3,CIN 3,0,6,"Nick Chubb right guard for 3 yards, touchdown",5.530,7.000
2,5:04,,,CIN 15,0,6,"Penalty on CIN: Defensive Too Many Men on Field, 1 yard (accepted) (no play)",0.000,1.000
2,5:04,,,CIN 1,0,8,"Two Point Attempt: Nick Chubb rushes, conversion succeeds.",1.000,1.000
2,5:04,,,CLE 35,0,8,"Cade York kicks off 57 yards, returned by Chris Evans for 20 yards (tackle by David Bell and Jordan Kunaszyk)",0.000,0.810
