Unnamed: 0,CIN,CLE
First Downs,15,24
Rush-Yds-TDs,10-36-0,44-172-3
Cmp-Att-Yd-TD-INT,25-35-232-2-1,17-23-278-1-1
Sacked-Yards,5-39,2-10
Net Pass Yards,193,268
Total Yards,229,440
Fumbles-Lost,1-1,1-1
Turnovers,2,2
Penalties-Yards,2-6,6-56
Third Down Conv.,4-10,8-13
Fourth Down Conv.,0-1,0-0
Time of Possession,23:15,36:45
