Quarter,Time,Tm,Detail,ATL,TAM
1.0,11:06,Buccaneers,Chris Godwin 29 yard pass from Tom Brady (Ryan Succop kick),0,7
,3:33,Falcons,Younghoe Koo 22 yard field goal,3,7
,0:07,Buccaneers,Ryan Succop 29 yard field goal,3,10
2.0,12:30,Buccaneers,Antonio Brown 25 yard pass from Tom Brady (Ryan Succop kick),3,17
,8:44,Buccaneers,Ryan Succop 38 yard field goal,3,20
,1:56,Falcons,Matt Ryan 1 yard rush (Younghoe Koo kick),10,20
,0:00,Buccaneers,Ryan Succop 25 yard field goal,10,23
3.0,8:49,Falcons,Russell Gage 19 yard pass from Matt Ryan (Younghoe Koo kick),17,23
,0:30,Falcons,Younghoe Koo 21 yard field goal,20,23
4.0,11:13,Buccaneers,Ronald Jones II 3 yard rush (Ryan Succop kick),20,30
,8:19,Falcons,Hayden Hurst 1 yard pass from Matt Ryan (Younghoe Koo kick),27,30
,3:54,Buccaneers,Chris Godwin 4 yard pass from Tom Brady (Ryan Succop kick),27,37
,2:52,Buccaneers,Antonio Brown 30 yard pass from Tom Brady (Ryan Succop kick),27,44
