Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Todd Gurley,ATL,9,18,0,3,6,0.7,12,1.3,0,
Brian Hill,ATL,9,94,0,1,21,2.3,73,8.1,2,4.5
Matt Ryan,ATL,3,1,1,1,1,0.3,0,0.0,0,
Ito Smith,ATL,3,9,0,,2,0.7,7,2.3,0,
Russell Gage,ATL,1,11,0,1,8,8.0,3,3.0,0,
Calvin Ridley,ATL,1,-6,0,0,-6,-6.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Ronald Jones II,TAM,12,78,1,4,40,3.3,38,3.2,2,6.0
Tom Brady,TAM,5,3,0,1,2,0.4,1,0.2,0,
Leonard Fournette,TAM,5,13,0,,-2,-0.4,15,3.0,0,
