Unnamed: 0,ATL,TAM
First Downs,25,28
Rush-Yds-TDs,26-127-1,22-94-1
Cmp-Att-Yd-TD-INT,29-44-265-2-0,26-41-399-4-1
Sacked-Yards,1-7,1-8
Net Pass Yards,258,391
Total Yards,385,485
Fumbles-Lost,4-2,0-0
Turnovers,2,1
Penalties-Yards,4-48,3-23
Third Down Conv.,7-14,6-11
Fourth Down Conv.,2-3,0-0
Time of Possession,33:12,26:48
