Unnamed: 0,IND,TEN
First Downs,18,25
Rush-Yds-TDs,19-85-0,34-168-2
Cmp-Att-Yd-TD-INT,21-37-212-1-0,23-32-306-1-1
Sacked-Yards,1-0,1-1
Net Pass Yards,212,305
Total Yards,297,473
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,5-51,4-45
Third Down Conv.,2-9,6-13
Fourth Down Conv.,0-1,1-1
Time of Possession,24:07,35:53
