Quarter,Time,Down,ToGo,Location,MIA,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Cody Parkey kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,NYJ 25,0,0,Matt Forte right guard for 3 yards (tackle by Mike Hull),0.610,0.470
1,14:17,2,7,NYJ 28,0,0,Josh McCown sacked by Cameron Wake for -11 yards,0.470,-1.930
1,13:35,3,18,NYJ 17,0,0,Elijah McGuire middle for 2 yards (tackle by Ndamukong Suh),-1.930,-2.140
1,13:02,4,16,NYJ 19,0,0,"Lac Edwards punts 61 yards, returned by Jakeem Grant for 13 yards (tackle by Terrence Brooks)",-2.140,-1.140
1,12:48,1,10,MIA 33,0,0,Jay Cutler pass complete short left to Kenny Stills for 13 yards (tackle by Buster Skrine),1.140,1.990
,,,,,,,"NYJ challenged the pass completion ruling, and the play was upheld.",,
1,12:24,1,10,MIA 46,0,0,Jay Ajayi left end for -2 yards (tackle by Jamal Adams),1.990,1.180
1,11:54,2,12,MIA 44,0,0,Damien Williams left guard for 8 yards (tackle by Darryl Roberts),1.180,1.550
1,11:13,3,4,NYJ 48,0,0,Jay Cutler pass incomplete short right intended for Julius Thomas,1.550,0.070
1,11:08,4,4,NYJ 48,0,0,Matt Haack punts 38 yards,0.070,0.380
1,10:56,1,10,NYJ 10,0,0,Matt Forte middle for 4 yards (tackle by Chase Allen),-0.380,-0.460
1,10:20,2,6,NYJ 14,0,0,Josh McCown pass complete short right to Robby Anderson for 20 yards (tackle by Byron Maxwell),-0.460,1.200
1,9:37,1,10,NYJ 34,0,0,"Penalty on Davon Godchaux: Encroachment, 5 yards (no play)",1.200,1.930
1,9:26,1,5,NYJ 39,0,0,"Penalty on Davon Godchaux: Neutral Zone Infraction, 5 yards (no play)",1.930,1.860
1,9:09,1,10,NYJ 44,0,0,"Penalty on Josh McCown: False Start, 5 yards (no play)",1.860,1.530
1,8:55,1,15,NYJ 39,0,0,Josh McCown pass complete short middle to Austin Seferian-Jenkins for 13 yards (tackle by Kiko Alonso),1.530,2.400
1,8:21,2,2,MIA 48,0,0,Josh McCown pass complete short left to Austin Seferian-Jenkins for 7 yards (tackle by Xavien Howard),2.400,2.850
1,7:46,1,10,MIA 41,0,0,Bilal Powell left tackle for 2 yards (tackle by Vincent Taylor),2.850,2.580
1,7:10,2,8,MIA 39,0,0,Elijah McGuire middle for 10 yards (tackle by Xavien Howard),2.580,3.640
1,6:30,1,10,MIA 29,0,0,Bilal Powell right end for -3 yards (tackle by Cameron Wake and Andre Branch),3.640,2.700
1,5:49,2,13,MIA 32,0,0,Josh McCown pass incomplete deep left intended for Robby Anderson (defended by Xavien Howard),2.700,2.020
1,5:42,3,13,MIA 32,0,0,Josh McCown pass complete short left to Jeremy Kerley for 6 yards (tackle by Nate Allen),2.020,1.740
1,5:04,4,7,MIA 26,0,0,"Chandler Catanzaro 45 yard field goal no good, blocked by Vincent Taylor",1.740,-1.270
1,5:01,1,10,MIA 35,0,0,Jay Cutler pass complete short left to Jarvis Landry for 4 yards (tackle by Buster Skrine),1.270,1.260
1,4:38,2,6,MIA 39,0,0,Jay Ajayi right tackle for no gain (tackle by Leonard Williams and Demario Davis),1.260,0.000
1,3:49,,,,,,Timeout #1 by Miami Dolphins,0.000,-0.560
1,3:49,3,6,MIA 39,0,0,"Penalty on Ja'Wuan James: False Start, 5 yards (no play)",0.560,-0.100
1,3:49,3,11,MIA 34,0,0,"Penalty on Laremy Tunsil: False Start, 5 yards (no play)",-0.100,-0.760
1,3:49,3,16,MIA 29,0,0,Damien Williams right tackle for -3 yards (tackle by David Bass),-0.760,-1.630
1,3:10,4,19,MIA 26,0,0,"Matt Haack punts 46 yards, returned by Jeremy Kerley for 15 yards",-1.630,-1.800
1,3:01,1,10,NYJ 43,0,0,Josh McCown pass complete short middle to Jermaine Kearse for 17 yards (tackle by Reshad Jones),1.800,2.920
1,2:20,1,10,MIA 40,0,0,Josh McCown pass incomplete short left intended for Robby Anderson,2.920,2.370
1,2:15,2,10,MIA 40,0,0,Matt Forte middle for 1 yard (tackle by Cameron Wake and Vincent Taylor),2.370,1.820
1,1:35,3,9,MIA 39,0,0,Josh McCown sacked by Andre Branch for -5 yards,1.820,0.330
1,1:03,4,14,MIA 44,0,0,"Lac Edwards punts 35 yards, fair catch by Jakeem Grant",0.330,0.380
1,0:57,1,10,MIA 9,0,0,Jay Ajayi left tackle for 4 yards (tackle by Buster Skrine),-0.380,-0.480
