Unnamed: 0,MIN,IND
First Downs,15,26
Rush-Yds-TDs,24-138-1,31-144-0
Cmp-Att-Yd-TD-INT,16-19-169-1-0,23-29-268-4-0
Sacked-Yards,2-15,1-4
Net Pass Yards,154,264
Total Yards,292,408
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,6-53,8-65
Third Down Conv.,5-10,5-10
Fourth Down Conv.,1-1,1-1
Time of Possession,25:48,34:12
