Quarter,Time,Down,ToGo,Location,MIN,IND,Detail,EPB,EPA
2,12:48,,,MIN 30,3,14,"Aaron Elling kicks off 67 yards, returned by Brad Pyatt for 10 yards (tackle by Larry Ned)",0.000,-0.320
2,12:37,1,10,IND 13,3,14,Edgerrin James middle for 8 yards (tackle by Corey Chavous and Darrion Scott),-0.320,0.350
2,12:05,2,2,IND 21,3,14,Peyton Manning pass complete to Marvin Harrison for 4 yards (tackle by Antoine Winfield and Dontarrious Thomas),0.350,0.610
2,11:30,1,10,IND 25,3,14,Peyton Manning pass complete to Brandon Stokley for 20 yards (tackle by Brian Russell),0.610,1.930
2,10:50,1,10,IND 45,3,14,Edgerrin James middle for 1 yard (tackle by Darrion Scott and Steve Martin),1.930,1.520
2,10:10,2,9,IND 46,3,14,Peyton Manning pass complete to Brandon Stokley for 14 yards (tackle by E.J. Henderson),1.520,2.920
2,9:39,1,10,MIN 40,3,14,Edgerrin James middle for 9 yards (tackle by Antoine Winfield and Corey Chavous),2.920,3.590
2,9:03,2,1,MIN 31,3,14,Edgerrin James middle for -1 yards (tackle by Kevin Williams),3.590,2.740
2,8:22,3,2,MIN 32,3,14,Peyton Manning pass complete to James Mungro for 4 yards (tackle by Dontarrious Thomas),2.740,3.710
2,7:37,1,10,MIN 28,3,14,Peyton Manning pass complete to Dominic Rhodes for 4 yards (tackle by E.J. Henderson),3.710,3.710
2,6:48,2,6,MIN 24,3,14,"Peyton Manning pass complete to Edgerrin James for 3 yards (tackle by Brian Williams). Penalty on Ryan Diem: Offensive Holding, 10 yards (no play)",3.710,2.360
2,6:28,2,16,MIN 34,3,14,Peyton Manning pass incomplete intended for Marvin Harrison,2.360,1.680
2,6:22,3,16,MIN 34,3,14,Peyton Manning sacked by Kevin Williams for -4 yards,1.680,0.720
2,5:38,4,20,MIN 38,3,14,"Penalty on Hunter Smith: Delay of Game, 5 yards (no play)",0.720,0.400
2,5:24,4,25,MIN 43,3,14,"Hunter Smith punts 35 yards, fair catch by Nate Burleson",0.400,0.380
2,5:16,1,10,MIN 8,3,14,Onterrio Smith right tackle for 1 yard (tackle by David Thornton and Rob Morris),-0.380,-0.710
2,4:38,2,9,MIN 9,3,14,Onterrio Smith middle for 4 yards (tackle by Robert Mathis and Montae Reagor),-0.710,-0.840
2,3:57,3,5,MIN 13,3,14,Daunte Culpepper pass complete to Onterrio Smith for 7 yards (tackle by Jason David and Von Hutchins),-0.840,0.280
2,3:21,1,10,MIN 20,3,14,Daunte Culpepper pass complete to Marcus Robinson for 3 yards (tackle by Nick Harper),0.280,0.140
2,3:21,2,7,MIN 23,3,14,"Penalty on Chris Liwienski: False Start, 5 yards (no play)",0.140,-0.630
2,2:43,2,12,MIN 18,3,14,Daunte Culpepper for 1 yard (tackle by Larry Tripplett),-0.630,-1.140
2,2:01,3,11,MIN 19,3,14,Daunte Culpepper pass complete to Kelly Campbell for 30 yards (tackle by Anthony Floyd),-1.140,2.190
2,1:53,1,10,MIN 49,3,14,Daunte Culpepper for 7 yards (tackle by Anthony Floyd and Von Hutchins),2.190,2.590
2,1:09,2,3,IND 44,3,14,Daunte Culpepper pass complete to Marcus Robinson for 13 yards (tackle by Joe Jefferson),2.590,3.510
2,0:39,1,10,IND 31,3,14,Moe Williams middle for 13 yards (tackle by Anthony Floyd and Jim Nelson),3.510,4.370
2,0:21,1,10,IND 18,3,14,Daunte Culpepper spiked the ball,4.370,3.800
2,0:21,2,10,IND 18,3,14,Daunte Culpepper pass incomplete intended for Moe Williams,3.800,3.050
2,0:17,3,10,IND 18,3,14,Daunte Culpepper pass complete to Moe Williams for 13 yards (tackle by Cato June and Anthony Floyd),3.050,6.060
2,0:02,3,10,IND 18,3,14,Timeout #3 by Minnesota Vikings,3.050,6.060
2,0:02,1,5,IND 5,6,14,Morten Andersen 23 yard field goal good,6.060,3.000
Quarter,Time,Down,ToGo,Location,MIN,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 30,6,14,"Aaron Elling kicks off 65 yards, returned by Brad Pyatt for 26 yards (tackle by Antoine Winfield)",0.000,1.000
3,14:56,1,10,IND 31,6,14,Edgerrin James left tackle for 7 yards (tackle by Chris Hovan and Antoine Winfield),1.000,1.410
3,14:19,2,3,IND 38,6,14,Edgerrin James right tackle for 1 yard (tackle by Kenechi Udeze and Kevin Williams),1.410,0.830
3,13:35,3,2,IND 39,6,14,Peyton Manning pass complete to Marvin Harrison for 8 yards (tackle by Dontarrious Thomas),0.830,2.060
3,12:59,1,10,IND 47,6,14,"Edgerrin James left end for 3 yards (tackle by Brian Williams). Penalty on Tupe Peko: Offensive Holding, 10 yards (no play)",2.060,1.400
3,12:39,1,20,IND 37,6,14,Peyton Manning pass incomplete intended for Reggie Wayne,1.400,0.170
3,12:33,2,20,IND 37,6,14,Peyton Manning pass complete to Dallas Clark for 8 yards (tackle by Antoine Winfield),0.170,0.560
3,11:51,3,12,IND 45,6,14,Peyton Manning for 8 yards (tackle by Antoine Winfield),0.560,0.130
3,11:10,4,4,MIN 47,12,14,"Hunter Smith punts 38 yards, returned by Nate Burleson for 91 yards, touchdown",0.130,-7.000
3,10:49,,,,14,14,"Two Point Attempt: Daunte Culpepper middle, conversion succeeds",1.000,1.000
3,10:49,,,MIN 30,14,14,"Aaron Elling kicks off 61 yards, returned by Dominic Rhodes for 18 yards (tackle by Spencer Johnson)",0.000,0.740
3,10:45,1,10,IND 27,14,14,Edgerrin James left end for 3 yards (tackle by Keith Newman),0.740,0.600
3,10:03,2,7,IND 30,14,14,Edgerrin James right end for 6 yards (tackle by Antoine Winfield),0.600,0.700
3,9:18,3,1,IND 36,14,14,"Penalty on Marcus Pollard: False Start, 5 yards (no play)",0.700,0.040
3,8:54,3,6,IND 31,14,14,Peyton Manning pass incomplete intended for Brandon Stokley (defended by Antoine Winfield),0.040,-1.310
3,8:49,4,6,IND 31,14,14,"Hunter Smith punts 50 yards, returned by Nate Burleson for 5 yards (tackle by Gerome Sapp)",-1.310,-0.540
3,8:35,1,10,MIN 24,14,14,Daunte Culpepper pass complete to Jermaine Wiggins for 9 yards (tackle by Jim Nelson),0.540,1.210
3,8:00,2,1,MIN 33,14,14,Michael Bennett middle for 2 yards (tackle by Bob Sanders),1.210,1.270
3,7:28,1,10,MIN 35,14,14,Michael Bennett middle for 1 yard (tackle by Nick Harper),1.270,0.860
3,6:47,2,9,MIN 36,14,14,Daunte Culpepper sacked by Dwight Freeney for -8 yards,0.860,-0.890
3,6:11,3,17,MIN 28,14,14,Daunte Culpepper pass complete to Michael Bennett for 9 yards (tackle by Cato June and Jim Nelson),-0.890,-0.910
3,5:29,4,8,MIN 37,14,14,"Darren Bennett punts 48 yards, returned by Brad Pyatt for -2 yards (tackle by Ralph Brown)",-0.910,0.320
3,5:20,1,10,IND 13,14,14,Peyton Manning pass complete to Marvin Harrison for 41 yards (tackle by Corey Chavous),-0.320,2.520
3,4:57,1,10,MIN 46,14,14,Edgerrin James middle for 3 yards (tackle by Darrion Scott),2.520,2.380
3,4:18,2,7,MIN 43,14,14,Peyton Manning pass complete to Marvin Harrison for 8 yards (tackle by Antoine Winfield),2.380,3.250
3,3:35,1,10,MIN 35,14,14,Peyton Manning pass incomplete intended for Dallas Clark (defended by Brian Russell),3.250,2.700
3,3:30,2,10,MIN 35,14,14,Peyton Manning pass complete to Dallas Clark for 26 yards (tackle by Brian Russell),2.700,5.140
3,2:44,1,9,MIN 9,14,14,Edgerrin James middle for 5 yards (tackle by Kevin Williams and Kenny Mixon),5.140,5.340
3,2:11,2,4,MIN 4,14,20,"Peyton Manning pass complete to Dallas Clark for 4 yards, touchdown",5.340,7.000
3,2:11,,,MIN 2,14,21,Mike Vanderjagt kicks extra point good,0.000,0.000
3,2:11,,,IND 30,14,21,"Hunter Smith kicks off 60 yards, returned by Derek Ross for 19 yards (tackle by Joe Jefferson)",0.000,0.870
3,2:01,1,10,MIN 29,14,21,Daunte Culpepper pass complete to Jermaine Wiggins for 9 yards (tackle by Nick Harper),0.870,1.540
3,1:24,2,1,MIN 38,14,21,Daunte Culpepper pass complete to Jermaine Wiggins for 16 yards (tackle by Bob Sanders),1.540,2.520
3,0:43,1,10,IND 46,14,21,Michael Bennett right end for -2 yards (tackle by Robert Mathis),2.520,1.710
3,0:02,2,12,IND 48,14,21,"Daunte Culpepper pass complete to Michael Bennett for 6 yards (tackle by Cato June). Penalty on Matt Birk: Offensive Holding, 10 yards",1.710,1.170
Quarter,Time,Down,ToGo,Location,MIN,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,16,MIN 48,14,21,Michael Bennett middle for 5 yards (tackle by Dwight Freeney and Gary Brackett),1.170,1.160
4,14:20,3,11,IND 47,14,21,Daunte Culpepper pass complete to Jermaine Wiggins for 18 yards (tackle by Nick Harper),1.160,3.640
4,13:39,1,10,IND 29,14,21,Onterrio Smith middle for 19 yards (tackle by Idrees Bashir),3.640,4.910
4,12:58,1,10,IND 10,14,21,Onterrio Smith middle for no gain (tackle by David Thornton),4.910,4.190
4,12:17,2,10,IND 10,14,21,Daunte Culpepper pass complete to Moe Williams for 2 yards (tackle by Larry Tripplett),4.190,3.580
4,11:34,3,8,IND 8,20,21,"Daunte Culpepper pass complete to Nate Burleson for 8 yards, touchdown",3.580,7.000
4,11:34,,,IND 2,21,21,Morten Andersen kicks extra point good,0.000,0.000
4,11:34,,,MIN 30,21,21,"Aaron Elling kicks off 64 yards, returned by Dominic Rhodes for 44 yards (tackle by Aaron Elling). Penalty on Robert Mathis: Offensive Holding, 10 yards",0.000,1.270
4,11:20,1,10,IND 35,21,21,Peyton Manning pass complete to Edgerrin James for 12 yards (tackle by Antoine Winfield),1.270,2.060
4,10:43,1,10,IND 47,21,21,Edgerrin James left tackle for no gain (tackle by Kevin Williams and Lance Johnstone),2.060,1.520
4,10:11,2,10,IND 47,21,21,Edgerrin James left tackle for 15 yards (tackle by Corey Chavous),1.520,3.050
4,9:26,1,10,MIN 38,21,21,Peyton Manning pass complete to Edgerrin James for 6 yards (tackle by Terrance Shaw),3.050,3.320
4,8:57,2,4,MIN 32,21,21,Edgerrin James left tackle for 12 yards (tackle by Corey Chavous),3.320,4.240
4,8:11,2,4,MIN 32,21,21,Timeout #1 by Minnesota Vikings,3.320,4.240
4,8:11,1,10,MIN 20,21,21,Dominic Rhodes left tackle for 1 yard (tackle by Steve Martin and E.J. Henderson),4.240,3.820
4,7:30,2,9,MIN 19,21,27,"Peyton Manning pass complete to Marcus Pollard for 19 yards, touchdown",3.820,7.000
4,7:30,,,MIN 2,21,28,Mike Vanderjagt kicks extra point good,0.000,0.000
4,7:30,,,IND 30,21,28,"Hunter Smith kicks off 60 yards, returned by Kelly Campbell for 30 yards (tackle by Bob Sanders). Penalty on Joe Jefferson: Offside on Free Kick (Offsetting), Penalty on Derek Ross: Illegal Block Above the Waist (Offsetting)",0.000,1.270
4,7:13,1,10,MIN 35,21,28,"Daunte Culpepper sacked by Dwight Freeney for -7 yards. Penalty on Dwight Freeney: Defensive Offside, 5 yards (no play)",1.270,2.000
4,6:52,1,5,MIN 40,21,28,Daunte Culpepper pass complete to Onterrio Smith for 8 yards (tackle by Bob Sanders),2.000,2.130
4,6:11,1,10,MIN 48,21,28,Onterrio Smith middle for 3 yards (tackle by David Thornton and Idrees Bashir),2.130,1.990
4,5:31,2,7,IND 49,21,28,"Penalty on Bryant McKinnie: False Start, 5 yards (no play)",1.990,1.310
4,5:15,2,12,MIN 46,21,28,Onterrio Smith middle for 4 yards (tackle by Robert Mathis),1.310,1.160
4,4:31,3,8,,21,28,Daunte Culpepper pass complete to Marcus Robinson for 7 yards (tackle by Cato June and Joe Jefferson),1.160,0.400
4,3:49,3,8,,21,28,Timeout #2 by Minnesota Vikings,1.160,0.400
4,3:49,4,1,IND 43,21,28,Daunte Culpepper for 9 yards (tackle by David Thornton),0.400,3.310
4,3:44,1,10,IND 34,21,28,Daunte Culpepper middle for 10 yards (tackle by Idrees Bashir),3.310,3.970
4,3:02,1,10,IND 24,27,28,"Onterrio Smith right tackle for 24 yards, touchdown",3.970,7.000
4,3:02,,,IND 2,28,28,Morten Andersen kicks extra point good,0.000,0.000
4,3:02,,,MIN 30,28,28,"Morten Andersen kicks off 58 yards, returned by Brad Pyatt for 15 yards (tackle by Dontarrious Thomas)",0.000,0.740
4,2:50,1,10,IND 27,28,28,Peyton Manning pass complete to Edgerrin James for 17 yards (tackle by Brian Russell and Corey Chavous),0.740,1.860
4,2:13,1,10,IND 44,28,28,"Peyton Manning for 15 yards (tackle by Lance Johnstone). Penalty on Lance Johnstone: Unnecessary Roughness, 15 yards",1.860,3.840
4,2:04,1,10,MIN 26,28,28,Edgerrin James left tackle for 2 yards (tackle by Kevin Williams),3.840,3.570
4,1:59,2,8,MIN 24,28,28,Edgerrin James right end for 3 yards (tackle by E.J. Henderson),3.570,3.270
4,1:53,3,5,MIN 21,28,28,Peyton Manning pass complete to Edgerrin James for 6 yards (tackle by Steve Martin),3.270,4.580
4,1:06,1,10,MIN 15,28,28,Edgerrin James left end for no gain (tackle by Keith Newman),4.580,3.950
4,0:55,1,10,MIN 15,28,28,Timeout #3 by Minnesota Vikings,4.580,3.950
4,0:55,2,10,MIN 15,28,28,Peyton Manning kneels for -1 yards,3.950,3.040
4,0:13,2,10,MIN 15,28,28,Timeout #1 by Indianapolis Colts,3.950,3.040
4,0:13,3,11,MIN 16,28,28,Peyton Manning kneels for -2 yards,3.040,2.250
4,0:06,3,11,MIN 16,28,28,Timeout #2 by Indianapolis Colts,3.040,2.250
4,0:06,4,13,MIN 18,28,31,Mike Vanderjagt 35 yard field goal good,2.250,3.000
4,0:06,,,IND 30,28,31,"Hunter Smith kicks off 31 yards, muffed catch by Spencer Johnson, recovered by Jim Nelson and returned for no gain",0.000,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
