Quarter,Time,Down,ToGo,Location,WAS,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Commanders won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NYG 25,0,0,Saquon Barkley right guard for -1 yards (tackle by Montez Sweat),0.610,-0.070
1,14:33,2,11,NYG 24,0,0,Tyrod Taylor pass incomplete deep right,-0.070,-0.760
1,14:27,3,11,NYG 24,0,0,Tyrod Taylor pass incomplete short right intended for Saquon Barkley (defended by Quan Martin),-0.760,-1.770
1,14:20,4,11,NYG 24,0,0,"Jamie Gillan punts 54 yards, returned by Jamison Crowder for 9 yards (tackle by Cam Brown)",-1.770,-1.000
1,14:09,1,10,WAS 31,0,0,Brian Robinson up the middle for 1 yard (tackle by Bobby Okereke),1.000,0.600
1,13:32,2,9,WAS 32,0,0,Sam Howell sacked by and Dexter Lawrence for -8 yards and Micah McFadden for -8 yards,0.600,-1.150
1,12:48,3,17,WAS 24,0,0,"Penalty on Charles Leno: False Start, 5 yards (accepted) (no play)",-1.150,-1.940
1,12:25,3,22,WAS 19,0,0,Sam Howell pass complete short right to Logan Thomas for 15 yards (tackle by Bobby Okereke and Cordale Flott),-1.940,-1.110
1,11:48,4,7,WAS 34,0,0,"Tress Way punts 56 yards, recovered by Nick McCloud at NYG-10 and returned for 1 yard (tackle by David Mayo)",-1.110,0.370
1,11:36,1,10,NYG 11,0,0,Tyrod Taylor pass complete short right to Sterling Shepard for 3 yards,-0.370,-0.530
1,11:07,2,7,NYG 14,0,0,Saquon Barkley up the middle for 1 yard (tackle by John Ridgeway and Jamin Davis),-0.530,-0.950
1,10:35,3,6,NYG 15,0,0,Tyrod Taylor pass complete deep right to Jalin Hyatt for 33 yards (tackle by Benjamin St-Juste),-0.950,2.130
