#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,PIT 20,4,1:49,10,Punt
2,1,11:23,PIT 8,3,2:08,9,Punt
3,1,3:06,PIT 21,6,3:21,23,Punt
4,2,10:56,PIT 9,3,0:57,5,Punt
5,2,9:01,PIT 7,3,1:33,5,Punt
6,2,6:35,PIT 11,3,1:17,-5,Punt
7,2,3:40,PIT 38,4,1:42,9,Downs
8,2,0:50,PIT 10,7,0:50,59,Field Goal
9,3,5:28,PIT 8,1,0:12,-8,Fumble
10,3,5:16,PIT 20,7,2:43,80,Touchdown
11,4,11:01,PIT 6,2,0:36,6,Interception
12,4,9:46,PIT 19,10,3:39,81,Touchdown
13,4,4:27,PIT 27,3,0:52,-7,Punt
14,4,2:33,SDG 44,6,1:35,44,Touchdown
