Quarter,Time,Down,ToGo,Location,SDG,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,SDG 35,0,0,"Nick Novak kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,PIT 20,0,0,Ben Roethlisberger pass complete short right to Mike Wallace for 10 yards (tackle by Kendall Reyes),0.280,0.940
1,14:15,1,10,PIT 30,0,0,Jonathan Dwyer up the middle for no gain (tackle by Eric Weddle),0.940,0.390
1,13:35,2,10,PIT 30,0,0,Ben Roethlisberger pass incomplete short right intended for Jonathan Dwyer,0.390,-0.300
1,13:29,3,10,PIT 30,0,0,Ben Roethlisberger pass incomplete short left intended for Mike Wallace,-0.300,-1.370
1,13:22,4,10,PIT 30,0,0,"Drew Butler punts 37 yards, returned by Micheal Spurlock for 7 yards (tackle by Josh Victorian)",-1.370,-1.600
1,13:11,1,10,SDG 40,0,0,Ryan Mathews right tackle for 9 yards (tackle by Evander Hood),1.600,2.270
1,12:30,2,1,SDG 49,0,0,Ryan Mathews up the middle for 3 yards (tackle by Troy Polamalu and Evander Hood),2.270,2.390
1,11:48,1,10,PIT 48,0,0,Philip Rivers pass incomplete short middle intended for Ryan Mathews (defended by Evander Hood),2.390,1.850
1,11:42,2,10,PIT 48,0,0,Philip Rivers pass incomplete short right intended for Antonio Gates,1.850,1.160
1,11:37,3,10,PIT 48,0,0,Philip Rivers pass incomplete short right intended for Ronnie Brown,1.160,0.070
1,11:32,4,10,PIT 48,0,0,"Mike Scifres punts 40 yards, fair catch by Antonio Brown",0.070,0.380
1,11:23,1,10,PIT 8,0,0,Jonathan Dwyer right guard for 4 yards (tackle by Cam Thomas),-0.380,-0.490
1,10:41,2,6,PIT 12,0,0,Ben Roethlisberger pass complete short middle to Jonathan Dwyer for 5 yards (tackle by Jarret Johnson),-0.490,-0.370
1,9:53,3,1,PIT 17,0,0,Isaac Redman right guard for no gain (tackle by Demorrio Williams),-0.370,-2.320
1,9:20,4,1,PIT 17,0,0,"Drew Butler punts 52 yards, fair catch by Micheal Spurlock",-2.320,-1.000
1,9:15,1,10,SDG 31,0,0,Ryan Mathews right guard for 2 yards (tackle by James Harrison),1.000,0.730
1,8:42,2,8,SDG 33,0,0,Ryan Mathews right guard for 4 yards (tackle by Troy Polamalu and Jason Worilds),0.730,0.560
1,8:03,3,4,SDG 37,0,0,Philip Rivers pass complete short middle to Antonio Gates for 6 yards (tackle by Lawrence Timmons),0.560,1.800
1,7:29,1,10,SDG 43,0,0,Ryan Mathews right guard for 1 yard (tackle by Troy Polamalu and Larry Foote),1.800,1.390
1,6:47,2,9,SDG 44,0,0,Ryan Mathews left tackle for 1 yard (tackle by Lawrence Timmons),1.390,0.830
1,6:05,3,8,SDG 45,0,0,Philip Rivers pass complete short right to Micheal Spurlock for 11 yards (tackle by Cortez Allen),0.830,2.650
1,5:36,1,10,PIT 44,0,0,Ryan Mathews right tackle for -1 yards (tackle by Lawrence Timmons),2.650,1.980
1,4:53,2,11,PIT 45,0,0,Ryan Mathews up the middle for 1 yard (tackle by Jason Worilds and Evander Hood),1.980,1.420
1,4:10,3,10,PIT 44,0,0,"Philip Rivers pass incomplete short right intended for Antonio Gates. Penalty on Troy Polamalu: Defensive Offside, 5 yards (no play)",1.420,2.080
1,4:04,3,5,PIT 39,0,0,"Penalty on James Harrison: Neutral Zone Infraction, 5 yards (no play)",2.080,3.310
1,4:04,1,10,PIT 34,0,0,Ryan Mathews right guard for 1 yard (tackle by James Harrison),3.310,2.910
1,3:23,2,9,PIT 33,0,0,Philip Rivers pass incomplete short left intended for Antonio Gates,2.910,2.210
1,3:14,3,9,PIT 33,0,0,Philip Rivers pass incomplete deep middle intended for Antonio Gates,2.210,1.150
1,3:10,4,9,PIT 33,3,0,Nick Novak 51 yard field goal good,1.150,3.000
1,3:06,,,SDG 35,3,0,"Nick Novak kicks off 73 yards, returned by Chris Rainey for 29 yards (tackle by Chris Carr)",0.000,0.340
1,3:00,1,10,PIT 21,3,0,"Penalty on Willie Colon: False Start, 5 yards (no play)",0.340,-0.220
1,3:00,1,15,PIT 16,3,0,Ben Roethlisberger pass complete short middle to Heath Miller for 4 yards (tackle by Demorrio Williams),-0.220,-0.340
1,2:21,2,11,PIT 20,3,0,Mike Wallace right end for no gain (tackle by Eric Weddle),-0.340,-1.020
1,1:37,3,11,PIT 20,3,0,Ben Roethlisberger pass complete short middle to Plaxico Burress for 18 yards (tackle by Quentin Jammer),-1.020,1.470
1,0:59,1,10,PIT 38,3,0,Jonathan Dwyer right guard for 5 yards (tackle by Marcus Gilchrist and Kendall Reyes),1.470,1.600
1,0:18,2,5,PIT 43,3,0,Jonathan Dwyer right guard for 1 yard (tackle by Demorrio Williams),1.600,1.020
Quarter,Time,Down,ToGo,Location,SDG,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,PIT 44,3,0,"Ben Roethlisberger pass incomplete short middle intended for Heath Miller. Maurkice Pouncey fumbles, recovered by Maurkice Pouncey at PIT-PIT",1.020,-0.460
2,14:52,4,4,PIT 44,3,0,"Drew Butler punts 38 yards, fair catch by Micheal Spurlock",-0.460,-0.040
2,14:45,1,10,SDG 18,3,0,Ryan Mathews left guard for 6 yards (tackle by Larry Foote),0.040,0.410
2,14:07,2,4,SDG 24,3,0,Philip Rivers pass incomplete short left intended for Danario Alexander,0.410,-0.400
2,14:02,3,4,SDG 24,3,0,Philip Rivers pass complete short right to Micheal Spurlock for 6 yards (tackle by Curtis Brown),-0.400,0.940
2,13:36,1,10,SDG 30,3,0,Philip Rivers pass incomplete deep left intended for Antonio Gates,0.940,0.390
2,13:29,2,10,SDG 30,3,0,Philip Rivers pass incomplete short left intended for Antonio Gates,0.390,-0.300
2,13:25,3,10,SDG 30,3,0,Philip Rivers pass complete short left to Micheal Spurlock for 10 yards (tackle by Curtis Brown),-0.300,1.600
2,13:03,1,10,SDG 40,3,0,Philip Rivers pass complete short left to Danario Alexander for 6 yards (tackle by Ryan Clark),1.600,1.860
