Unnamed: 0,SDG,PIT
First Downs,19,18
Rush-Yds-TDs,36-94-0,17-69-0
Cmp-Att-Yd-TD-INT,21-42-200-3-0,22-42-285-3-1
Sacked-Yards,1-0,2-14
Net Pass Yards,200,271
Total Yards,294,340
Fumbles-Lost,0-0,2-1
Turnovers,0,2
Penalties-Yards,6-51,8-52
Third Down Conv.,12-22,5-13
Fourth Down Conv.,1-1,0-1
Time of Possession,36:46,23:14
