Quarter,Time,Tm,Detail,IND,HOU
1.0,9:32,Texans,Neil Rackers 30 yard field goal,0,3
,4:43,Texans,Neil Rackers 49 yard field goal,0,6
2.0,13:01,Texans,Kevin Walter 22 yard pass from Matt Schaub (Neil Rackers kick),0,13
,5:19,Colts,Reggie Wayne 14 yard pass from Peyton Manning (Adam Vinatieri kick),7,13
,0:15,Colts,Adam Vinatieri 20 yard field goal,10,13
3.0,7:03,Texans,Arian Foster 1 yard rush (Neil Rackers kick),10,20
4.0,8:41,Texans,Arian Foster 25 yard rush (Neil Rackers kick),10,27
,4:52,Colts,Dallas Clark 10 yard pass from Peyton Manning (Adam Vinatieri kick),17,27
,1:56,Texans,Arian Foster 8 yard rush (Neil Rackers kick),17,34
,1:15,Colts,Austin Collie 73 yard pass from Peyton Manning (Adam Vinatieri kick),24,34
