Unnamed: 0,WAS,NWE
First Downs,16,27
Rush-Yds-TDs,15-37-0,37-161-1
Cmp-Att-Yd-TD-INT,22-40-217-1-1,26-39-299-2-1
Sacked-Yards,1-4,0-0
Net Pass Yards,213,299
Total Yards,250,460
Fumbles-Lost,2-1,2-1
Turnovers,2,2
Penalties-Yards,4-27,6-43
Third Down Conv.,7-14,9-16
Fourth Down Conv.,0-1,1-1
Time of Possession,22:55,37:05
