Unnamed: 0,CIN,PIT
First Downs,15,20
Rush-Yds-TDs,23-74-1,35-101-1
Cmp-Att-Yd-TD-INT,17-44-183-0-0,21-32-184-2-2
Sacked-Yards,1-8,0-0
Net Pass Yards,175,184
Total Yards,249,285
Fumbles-Lost,2-1,2-2
Turnovers,1,4
Penalties-Yards,8-45,7-37
Third Down Conv.,8-18,7-14
Fourth Down Conv.,0-3,0-0
Time of Possession,25:53,34:07
