Quarter,Time,Tm,Detail,CIN,PIT
1.0,8:23,Bengals,Rudi Johnson 1 yard rush (Shayne Graham kick),7,0
2.0,8:31,Steelers,Ben Roethlisberger 6 yard rush (Jeff Reed kick),7,7
,5:45,Steelers,Jeff Reed 21 yard field goal,7,10
,0:10,Steelers,Hines Ward 2 yard pass from Ben Roethlisberger (Jeff Reed kick),7,17
3.0,6:58,Bengals,Shayne Graham 24 yard field goal,10,17
,1:22,Steelers,Hines Ward 8 yard pass from Ben Roethlisberger (Jeff Reed kick),10,24
