#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,8:23,PIT 25,4,1:38,20,Interception
2,1,5:38,PIT 11,3,1:38,-2,Punt
3,1,2:24,PIT 14,3,1:26,-8,Punt
4,2,14:50,PIT 33,11,6:19,67,Touchdown
5,2,8:24,CIN 20,5,2:39,17,Field Goal
6,2,3:28,PIT 34,12,3:18,66,Touchdown
7,3,15:00,PIT 21,3,1:24,9,Punt
8,3,10:27,PIT 11,2,0:51,7,Fumble
9,3,6:58,PIT 39,10,5:36,61,Touchdown
10,4,13:35,PIT 34,2,1:04,16,Fumble
11,4,11:29,PIT 6,5,2:58,10,Interception
12,4,6:18,PIT 3,6,3:58,21,Punt
13,4,1:18,PIT 31,2,1:18,-1,End of Game
