Unnamed: 0,HOU,IND
First Downs,21,23
Rush-Yds-TDs,24-100-1,26-62-0
Cmp-Att-Yd-TD-INT,23-34-308-1-2,26-40-326-4-0
Sacked-Yards,3-17,1-5
Net Pass Yards,291,321
Total Yards,391,383
Fumbles-Lost,0-0,1-1
Turnovers,2,1
Penalties-Yards,10-54,6-45
Third Down Conv.,4-12,8-16
Fourth Down Conv.,1-3,0-1
Time of Possession,27:08,32:52
