Quarter,Time,Tm,Detail,HOU,IND
1.0,5:01,Colts,Zach Pascal 11 yard pass from Jacoby Brissett (Adam Vinatieri kick),0,7
2.0,8:59,Texans,Ka'imi Fairbairn 47 yard field goal,3,7
,6:25,Texans,Ka'imi Fairbairn 31 yard field goal,6,7
,1:49,Colts,T.Y. Hilton 2 yard pass from Jacoby Brissett (Adam Vinatieri kick),6,14
,0:23,Texans,Ka'imi Fairbairn 26 yard field goal,9,14
3.0,10:29,Colts,Eric Ebron 4 yard pass from Jacoby Brissett (Adam Vinatieri kick),9,21
,8:43,Texans,Keke Coutee 4 yard rush (Ka'imi Fairbairn kick),16,21
,1:14,Colts,Zach Pascal 3 yard pass from Jacoby Brissett (Adam Vinatieri kick),16,28
4.0,6:38,Texans,DeAndre Hopkins 4 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),23,28
,2:41,Colts,Safety,23,30
