Quarter,Time,Down,ToGo,Location,HOU,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Rigoberto Sanchez kicks off 59 yards, returned by DeAndre Carter for 10 yards (tackle by George Odum)",0.000,-0.140
1,14:55,1,10,HOU 16,0,0,Duke Johnson up the middle for 2 yards (tackle by Anthony Walker),-0.140,-0.350
1,14:29,2,8,HOU 18,0,0,Deshaun Watson pass complete short left to Will Fuller for 6 yards (tackle by Rock Ya-Sin),-0.350,-0.320
1,13:47,3,2,HOU 24,0,0,Deshaun Watson pass complete short left to Kenny Stills for 15 yards (tackle by George Odum),-0.320,1.530
1,13:23,1,10,HOU 39,0,0,Duke Johnson right tackle for 4 yards (tackle by Darius Leonard and Pierre Desir),1.530,1.530
1,12:43,2,6,HOU 43,0,0,Duke Johnson left guard for no gain (tackle by Margus Hunt),1.530,0.830
1,11:59,3,6,HOU 43,0,0,"Deshaun Watson pass complete short left to DeAndre Hopkins for 7 yards (tackle by Shakial Taylor) Penalty on HOU: Illegal Formation, 5 yards (no play)",0.830,0.170
1,11:32,3,11,HOU 38,0,0,Deshaun Watson pass complete short left to Duke Johnson for 10 yards (tackle by Pierre Desir),0.170,-0.190
1,10:51,4,1,HOU 48,0,0,"Carlos Hyde left guard for 2 yards (tackle by Matthew Adams and Jabaal Sheard). Penalty on Dan Skipper: Illegal Formation, 5 yards (no play)",-0.190,-0.520
1,10:11,4,6,HOU 43,0,0,Bryan Anger punts 51 yards downed by Cullen Gillaspia,-0.520,0.380
1,10:00,1,10,IND 6,0,0,Jacoby Brissett pass incomplete short right intended for Eric Ebron (defended by J.J. Watt),-0.380,-0.780
1,9:56,2,10,IND 6,0,0,Jacoby Brissett pass complete short middle to Nyheim Hines for 13 yards (tackle by Zach Cunningham),-0.780,0.150
1,9:12,1,10,IND 19,0,0,Jacoby Brissett pass complete deep right to Zach Pascal for 20 yards (tackle by Lonnie Johnson),0.150,1.530
1,8:29,1,10,IND 39,0,0,Jacoby Brissett pass incomplete short right intended for Jack Doyle,1.530,0.990
1,8:23,2,10,IND 39,0,0,Marlon Mack up the middle for no gain (tackle by Benardrick McKinney),0.990,0.300
1,7:42,3,10,IND 39,0,0,Jacoby Brissett pass complete deep left to Chester Rogers for 19 yards,0.300,2.790
1,7:11,1,10,HOU 42,0,0,Jacoby Brissett pass incomplete short right,2.790,2.240
1,7:05,2,10,HOU 42,0,0,Marlon Mack up the middle for 7 yards (tackle by Zach Cunningham),2.240,2.480
1,6:43,3,3,HOU 35,0,0,Jacoby Brissett pass complete short right to Jack Doyle for 19 yards (tackle by Tashaun Gipson),2.480,4.510
1,5:55,1,10,HOU 16,0,0,Jacoby Brissett pass incomplete short right,4.510,3.900
1,5:48,2,10,HOU 16,0,0,Marlon Mack up the middle for 5 yards (tackle by J.J. Watt),3.900,3.940
1,5:08,3,5,HOU 11,0,6,"Jacoby Brissett pass complete short right to Zach Pascal for 11 yards, touchdown",3.940,7.000
1,5:01,,,HOU 15,0,7,Adam Vinatieri kicks extra point good,0.000,0.000
1,5:01,,,IND 35,0,7,"Rigoberto Sanchez kicks off 59 yards, returned by DeAndre Carter for 28 yards (tackle by Ashton Dulin)",0.000,1.200
1,4:53,1,10,HOU 34,0,7,Carlos Hyde right end for 1 yard (tackle by Rolan Milligan),1.200,0.790
1,4:22,2,9,HOU 35,0,7,Deshaun Watson pass complete short right to Keke Coutee for 5 yards (tackle by Khari Willis),0.790,0.760
1,3:38,3,4,HOU 40,0,7,Deshaun Watson pass complete short left to Darren Fells for 19 yards (tackle by George Odum),0.760,2.850
1,3:08,1,10,IND 41,0,7,Carlos Hyde right tackle for 1 yard (tackle by Rolan Milligan),2.850,2.440
1,2:35,2,9,IND 40,0,7,Deshaun Watson left end for 2 yards (tackle by Darius Leonard),2.440,2.020
1,2:02,3,7,IND 38,0,7,Deshaun Watson pass incomplete deep left intended for DeAndre Hopkins,2.020,0.720
1,1:57,4,7,IND 38,0,7,"Bryan Anger punts 38 yards, touchback.",0.720,-0.280
1,1:48,1,10,IND 20,0,7,Jacoby Brissett sacked by and Whitney Mercilus for -5 yards,0.280,-1.070
1,1:05,2,15,IND 15,0,7,Jacoby Brissett pass incomplete deep right intended for T.Y. Hilton. Penalty on T.Y. Hilton: Offensive Pass Interference (Declined),-1.070,-1.860
1,1:00,3,15,IND 15,0,7,"Jacoby Brissett up the middle for 5 yards (tackle by Jacob Martin). Penalty on Johnathan Joseph: Defensive Holding, 5 yards",-1.860,0.610
1,0:37,1,10,IND 25,0,7,Marlon Mack right guard for 6 yards (tackle by Benardrick McKinney),0.610,0.870
1,0:13,2,4,IND 31,0,7,"Penalty on J.J. Watt: Neutral Zone Infraction, 5 yards (no play)",0.870,1.330
Quarter,Time,Down,ToGo,Location,HOU,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,IND 36,0,7,Marlon Mack left guard for 5 yards (tackle by Lonnie Johnson),1.330,1.470
2,14:29,2,5,IND 41,0,7,Marlon Mack left end for 4 yards (tackle by D.J. Reader),1.470,1.290
2,13:52,3,1,IND 45,0,7,Marlon Mack left guard for no gain (tackle by J.J. Watt and Zach Cunningham),1.290,-0.390
2,13:10,4,1,IND 45,0,7,Marlon Mack left end for no gain (tackle by Benardrick McKinney),-0.390,-2.590
2,13:04,1,10,IND 45,0,7,Deshaun Watson pass complete short right to DeAndre Hopkins for 12 yards (tackle by Pierre Desir),2.590,3.380
2,12:44,1,10,IND 33,0,7,Carlos Hyde left end for 6 yards (tackle by Rock Ya-Sin),3.380,3.650
2,12:06,2,4,IND 27,0,7,Deshaun Watson pass complete short middle to DeAndre Hopkins for 13 yards (tackle by Pierre Desir). Penalty on Shakial Taylor: Defensive Holding (Declined),3.650,4.650
2,11:40,1,10,IND 14,0,7,Carlos Hyde right guard for no gain (tackle by Jabaal Sheard and Grover Stewart),4.650,4.000
2,11:09,2,10,IND 14,0,7,"Penalty on Laremy Tunsil: False Start, 5 yards (no play)",4.000,3.370
2,10:50,2,15,IND 19,0,7,Deshaun Watson sacked by Jabaal Sheard for -6 yards,3.370,1.950
2,10:09,3,21,IND 25,0,7,"Deshaun Watson left end for 12 yards (tackle by Denico Autry). Deshaun Watson fumbles (forced by Denico Autry), recovered by Deshaun Watson at IND-31. Penalty on Max Scharping: Offensive Holding, 10 yards (no play)",1.950,0.630
2,9:45,3,31,IND 35,0,7,Duke Johnson up the middle for 6 yards (tackle by Darius Leonard),0.630,1.500
2,9:05,4,25,IND 29,3,7,Ka'imi Fairbairn 47 yard field goal good,1.500,3.000
2,8:59,,,HOU 35,3,7,"Ka'imi Fairbairn kicks off 63 yards, returned by Zach Pascal for 18 yards (tackle by Taiwan Jones)",0.000,0.280
2,8:55,1,10,IND 20,3,7,"Marlon Mack left guard for 3 yards (tackle by Johnathan Joseph). Penalty on Jack Doyle: Offensive Holding, 10 yards (no play)",0.280,-0.760
2,8:28,1,20,IND 10,3,7,Jacoby Brissett pass incomplete deep right intended for T.Y. Hilton,-0.760,-1.510
2,8:21,2,20,IND 10,3,7,Jacoby Brissett pass complete short right to Jack Doyle for 6 yards (tackle by Phillip Gaines),-1.510,-1.690
