Unnamed: 0,MIN,CHI
First Downs,15,23
Rush-Yds-TDs,20-114-0,39-113-2
Cmp-Att-Yd-TD-INT,22-43-159-1-1,23-31-188-1-1
Sacked-Yards,2-15,1-5
Net Pass Yards,144,183
Total Yards,258,296
Fumbles-Lost,2-2,1-1
Turnovers,3,2
Penalties-Yards,3-44,5-55
Third Down Conv.,6-16,11-19
Fourth Down Conv.,1-3,1-1
Time of Possession,22:30,37:30
