Unnamed: 0,CLE,DET
First Downs,26,16
Rush-Yds-TDs,33-201-2,19-104-1
Cmp-Att-Yd-TD-INT,22-40-237-1-1,17-26-249-3-1
Sacked-Yards,4-25,4-8
Net Pass Yards,212,241
Total Yards,413,345
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,7-60,7-81
Third Down Conv.,5-15,5-11
Fourth Down Conv.,4-4,0-0
Time of Possession,34:34,25:26
