Quarter,Time,Down,ToGo,Location,LVR,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,LVR 35,0,0,"Daniel Carlson kicks off 65 yards, touchback.",,
1,15:00,1,10,LAC 25,0,0,Justin Herbert pass complete short left to Keenan Allen for 5 yards (tackle by Denzel Perryman),,
1,14:31,2,5,LAC 30,0,0,Austin Ekeler left tackle for 7 yards (tackle by Cory Littleton),,
1,13:58,1,10,LAC 37,0,0,"Penalty on Matt Feiler: False Start, 5 yards (accepted) (no play)",,
1,13:37,1,15,LAC 32,0,0,Justin Herbert pass complete short right to Keenan Allen for 4 yards (tackle by Casey Hayward),,
1,13:09,2,11,LAC 36,0,0,"Penalty on Maxx Crosby: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
1,12:53,2,6,LAC 41,0,0,Justin Herbert pass complete deep left to Jared Cook for 22 yards (tackle by Trevon Moehrig),,
1,12:16,1,10,LVR 37,0,0,Jalen Guyton right end for -1 yards (tackle by Casey Hayward),,
1,11:42,2,11,LVR 38,0,0,Austin Ekeler up the middle for 18 yards (tackle by Trevon Moehrig),,
1,11:05,1,10,LVR 20,0,0,Justin Herbert pass complete short right to Justin Jackson for 7 yards (tackle by Cory Littleton),,
1,10:35,2,3,LVR 13,0,0,Justin Jackson left end for -1 yards (tackle by Denzel Perryman and Cory Littleton),,
1,9:58,3,4,LVR 14,0,0,Justin Herbert pass complete short left to Justin Jackson for 7 yards (tackle by Damon Arnette and Nate Hobbs),,
1,9:21,1,7,LVR 7,0,0,Justin Jackson right guard for no gain (tackle by Denzel Perryman),,
1,8:44,2,7,LVR 7,0,0,Larry Rountree up the middle for 3 yards (tackle by Johnathan Abram),,
1,8:06,3,4,LVR 4,0,6,"Justin Herbert pass complete short middle to Donald Parham for 4 yards, touchdown",,
1,8:01,,,LVR 15,0,7,Tristan Vizcaino kicks extra point good,,
1,8:01,,,LAC 35,0,7,"Tristan Vizcaino kicks off 60 yards, returned by Peyton Barber for 25 yards (tackle by Amen Ogbongbemiga and Kemon Hall)",,
1,7:55,1,10,LVR 30,0,7,Josh Jacobs right tackle for 2 yards (tackle by Derwin James and Linval Joseph),,
1,7:18,2,8,LVR 32,0,7,Josh Jacobs right tackle for 1 yard (tackle by Uchenna Nwosu and Drue Tranquill),,
1,6:38,3,7,LVR 33,0,7,Derek Carr pass incomplete short left intended for Hunter Renfrow,,
1,6:33,4,7,LVR 33,0,7,"AJ Cole punts 54 yards, returned by K.J. Hill for 11 yards (tackle by Cory Littleton and Divine Deablo)",,
1,6:21,1,10,LAC 24,0,7,Justin Herbert pass incomplete short left,,
1,6:16,2,10,LAC 24,0,7,Austin Ekeler right guard for 5 yards (tackle by Yannick Ngakoue and Denzel Perryman),,
1,5:42,,,,,,Timeout #1 by Las Vegas Raiders,,
1,5:42,3,5,LAC 29,0,7,Justin Herbert pass incomplete short left intended for Keenan Allen (defended by Solomon Thomas),,
1,5:37,4,5,LAC 29,0,7,Ty Long punts 48 yards downed by Tevaughn Campbell,,
1,5:24,1,10,LVR 23,0,7,Derek Carr pass incomplete short middle intended for Hunter Renfrow (defended by Asante Samuel),,
1,5:21,2,10,LVR 23,0,7,Derek Carr pass complete short right to Henry Ruggs for 4 yards (tackle by Michael Davis),,
1,4:35,,,,,,Timeout #2 by Las Vegas Raiders,,
1,4:35,3,6,LVR 27,0,7,"Derek Carr sacked by Joey Bosa for -12 yards. Derek Carr fumbles (forced by Joey Bosa), recovered by John Simpson at LV-15",,
1,4:12,4,18,LVR 15,0,7,AJ Cole punts 45 yards,,
1,4:05,1,10,LAC 40,0,7,Jalen Guyton left end for 21 yards (tackle by Clelin Ferrell),,
1,3:25,1,10,LVR 39,0,7,Justin Herbert sacked by Darius Philon for -5 yards,,
1,2:44,2,15,LVR 44,0,7,Justin Herbert pass incomplete short right intended for Jalen Guyton,,
1,2:39,3,15,LVR 44,0,7,Justin Herbert pass complete short left to Justin Jackson for 3 yards (tackle by Roderic Teamer and Cory Littleton),,
1,2:03,4,12,LVR 41,0,7,Ty Long pass incomplete short left intended for Tevaughn Campbell (defended by Hunter Renfrow),,
1,1:59,1,10,LVR 41,0,7,"Penalty on Alex Leatherwood: False Start, 5 yards (accepted) (no play)",,
1,1:59,1,15,LVR 36,0,7,Derek Carr sacked by Jerry Tillery for -10 yards,,
1,1:19,2,25,LVR 26,0,7,Derek Carr pass complete short middle to Josh Jacobs for 3 yards (tackle by Derwin James),,
1,0:35,3,22,LVR 29,0,7,Derek Carr pass complete short left to Hunter Renfrow for 12 yards (tackle by Tevaughn Campbell),,
Quarter,Time,Down,ToGo,Location,LVR,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,10,LVR 41,0,7,"AJ Cole punts 49 yards, fair catch by K.J. Hill at LAC-10",,
2,14:50,1,10,LAC 10,0,7,Austin Ekeler right guard for 5 yards (tackle by Denzel Perryman),,
2,14:16,2,5,LAC 15,0,7,Austin Ekeler right tackle for 3 yards (tackle by Johnathan Abram),,
2,13:43,3,2,LAC 18,0,7,Justin Herbert pass incomplete deep right intended for Mike Williams,,
2,13:38,4,2,LAC 18,0,7,"Ty Long punts 58 yards, returned by Hunter Renfrow for 17 yards (tackle by Nick Niemann). Penalty on Nick Niemann: Horse Collar Tackle, 15 yards (accepted)",,
2,13:26,1,10,LAC 44,0,7,Josh Jacobs right guard for 5 yards (tackle by Drue Tranquill and Jerry Tillery),,
2,12:56,2,5,LAC 39,0,7,Josh Jacobs left guard for 3 yards (tackle by Kyler Fackrell),,
2,12:23,3,2,LAC 36,0,7,Josh Jacobs up the middle for -1 yards (tackle by Kyzir White),,
2,11:41,4,3,LAC 37,0,7,Derek Carr pass complete short right to Josh Jacobs for no gain (tackle by Kyzir White),,
2,11:34,1,10,LAC 37,0,7,Justin Herbert pass complete short left to Austin Ekeler for 5 yards (tackle by Cory Littleton),,
2,10:59,2,5,LAC 42,0,7,Justin Jackson up the middle for -3 yards (tackle by Carl Nassib),,
2,10:31,,,,,,Timeout #1 by Los Angeles Chargers,,
2,10:31,3,8,LAC 39,0,7,Justin Herbert pass complete short left to Keenan Allen for 5 yards (tackle by Amik Robertson),,
2,9:49,4,3,LAC 44,0,7,Ty Long punts 41 yards,,
2,9:40,1,10,LVR 15,0,7,Derek Carr pass complete short left to Henry Ruggs for 5 yards (tackle by Asante Samuel),,
2,9:13,2,5,LVR 20,0,7,Derek Carr pass incomplete deep left intended for Henry Ruggs (defended by Nasir Adderley),,
2,9:08,3,5,LVR 20,0,7,Derek Carr pass complete short left to Darren Waller for 21 yards (tackle by Alohi Gilman),,
2,9:08,1,10,LVR 41,0,7,"Penalty on Darren Waller: Taunting / Offense, 15 yards (accepted) (no play)",,
2,8:46,1,10,LVR 26,0,7,Derek Carr pass incomplete short left intended for Darren Waller,,
2,8:43,2,10,LVR 26,0,7,Derek Carr pass incomplete short right,,
2,8:38,3,10,LVR 26,0,7,Derek Carr pass complete short right to Hunter Renfrow for 7 yards (tackle by Tevaughn Campbell and Nasir Adderley),,
2,8:01,4,3,LVR 33,0,7,"AJ Cole punts 56 yards, returned by K.J. Hill for 9 yards (tackle by Cory Littleton)",,
2,7:51,1,10,LAC 20,0,7,Justin Herbert pass complete short left to Mike Williams for 11 yards (tackle by Damon Arnette),,
2,7:11,1,10,LAC 31,0,7,"Austin Ekeler left end for no gain (tackle by Clelin Ferrell). Penalty on Clelin Ferrell: Face Mask (15 Yards), 15 yards (accepted) (no play)",,
2,6:47,1,10,LAC 46,0,7,Austin Ekeler left guard for 8 yards (tackle by Denzel Perryman and Damon Arnette),,
2,6:18,2,2,LVR 46,0,7,Justin Herbert pass complete short left to Stephen Anderson for 34 yards (tackle by Trevon Moehrig),,
2,5:36,1,10,LVR 12,0,7,Austin Ekeler right guard for 2 yards (tackle by K.J. Wright and Johnathan Hankins),,
2,4:57,2,8,LVR 10,0,7,Justin Herbert pass complete short right to Justin Jackson for no gain (tackle by Denzel Perryman and Nate Hobbs),,
2,4:21,3,8,LVR 10,0,13,"Justin Herbert pass complete short right to Jared Cook for 10 yards, touchdown",,
2,4:16,,,LVR 15,0,14,Tristan Vizcaino kicks extra point good,,
2,4:16,,,LAC 35,0,14,"Tristan Vizcaino kicks off 64 yards, returned by Kenyan Drake for 15 yards (tackle by Gabe Nabers). Penalty on Divine Deablo: Defensive Holding, 8 yards (accepted)",,
2,4:11,1,10,LVR 8,0,14,Josh Jacobs up the middle for 5 yards (tackle by Chris Rumph),,
2,3:33,2,5,LVR 13,0,14,Josh Jacobs left tackle for 4 yards (tackle by Linval Joseph and Drue Tranquill),,
2,2:59,3,1,LVR 17,0,14,"Josh Jacobs left guard for 1 yard (tackle by Linval Joseph) LAC challenged the short of the line to gain ruling, and the original play was overturned. Josh Jacobs left guard for no gain (tackle by Linval Joseph)",,
2,2:52,4,1,LVR 17,0,14,"AJ Cole punts 52 yards, fair catch by K.J. Hill at LAC-31",,
2,2:44,1,10,LAC 31,0,14,Justin Herbert pass complete short left to Keenan Allen for 2 yards (tackle by Denzel Perryman),,
2,2:08,2,8,LAC 33,0,14,Justin Herbert pass complete short left to Austin Ekeler for 9 yards (tackle by Denzel Perryman and Cory Littleton),,
2,2:00,1,10,LAC 42,0,14,Austin Ekeler up the middle for 11 yards (tackle by Johnathan Abram and Solomon Thomas),,
2,1:37,1,10,LVR 47,0,14,Justin Herbert pass incomplete short right intended for Austin Ekeler,,
2,1:32,2,10,LVR 47,0,14,Justin Herbert pass complete short right to Jared Cook for 4 yards (tackle by Cory Littleton),,
2,1:28,3,6,LVR 43,0,14,Justin Herbert pass complete short right to Keenan Allen for 7 yards (tackle by Amik Robertson and Johnathan Abram),,
2,1:00,1,10,LVR 36,0,14,Justin Herbert pass complete short right to Donald Parham for 13 yards (tackle by Nick Kwiatkoski and Johnathan Abram),,
2,0:38,1,10,LVR 23,0,14,Justin Herbert pass complete short right to Jalen Guyton for 9 yards (tackle by Amik Robertson),,
2,0:34,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:34,2,1,LVR 14,0,20,"Justin Herbert pass complete short right to Austin Ekeler for 14 yards, touchdown",,
2,0:29,,,LVR 15,0,21,Tristan Vizcaino kicks extra point good,,
2,0:29,,,LAC 35,0,21,"Tristan Vizcaino kicks off 66 yards, returned by Kenyan Drake for 31 yards (tackle by Tevaughn Campbell)",,
2,0:24,1,10,LVR 30,0,21,Derek Carr pass incomplete short left intended for Bryan Edwards (defended by Kyler Fackrell),,
2,0:21,2,10,LVR 30,0,21,"Penalty on Alex Leatherwood: False Start, 5 yards (accepted) (no play)",,
2,0:21,2,15,LVR 25,0,21,Kenyan Drake left end for 2 yards (tackle by Drue Tranquill),,
Quarter,Time,Down,ToGo,Location,LVR,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,0,21,"Tristan Vizcaino kicks off 65 yards, returned by Kenyan Drake for 22 yards (tackle by Nick Niemann and Alohi Gilman)",,
3,14:54,1,10,LVR 22,0,21,Derek Carr pass complete short right to Josh Jacobs for no gain (tackle by Michael Davis),,
3,14:20,2,10,LVR 22,0,21,Derek Carr pass complete short left to Willie Snead for 15 yards (tackle by Nasir Adderley),,
3,14:20,1,10,LVR 37,0,21,"Penalty on Nasir Adderley: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",,
3,13:52,1,10,LAC 48,0,21,Josh Jacobs left end for 2 yards (tackle by Michael Davis),,
3,13:22,2,8,LAC 46,0,21,"Penalty on Uchenna Nwosu: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
3,13:03,2,3,LAC 41,0,21,Derek Carr pass complete short right to Darren Waller for 8 yards,,
3,12:27,1,10,LAC 33,0,21,Josh Jacobs up the middle for 10 yards (tackle by Kyzir White and Derwin James),,
3,11:52,1,10,LAC 23,0,21,Josh Jacobs left guard for 1 yard (tackle by Linval Joseph and Jerry Tillery),,
3,11:16,2,9,LAC 22,0,21,Derek Carr pass complete short right to Hunter Renfrow for 8 yards (tackle by Michael Davis),,
3,10:53,3,1,LAC 14,0,21,Derek Carr up the middle for 2 yards (tackle by Christian Covington),,
3,10:26,1,10,LAC 12,0,21,Derek Carr sacked by Kyler Fackrell for -3 yards,,
3,9:48,2,13,LAC 15,0,21,Derek Carr pass complete short right to Josh Jacobs for 5 yards (tackle by Asante Samuel),,
3,9:07,3,8,LAC 10,6,21,"Derek Carr pass complete short right to Hunter Renfrow for 10 yards, touchdown",,
3,9:01,,,LAC 15,7,21,Daniel Carlson kicks extra point good,,
3,9:01,,,LVR 35,7,21,"Daniel Carlson kicks off 62 yards, returned by Larry Rountree for 24 yards (tackle by Trevon Moehrig)",,
3,8:53,1,10,LAC 27,7,21,Austin Ekeler up the middle for 6 yards (tackle by Amik Robertson and K.J. Wright),,
3,8:17,2,4,LAC 33,7,21,Austin Ekeler right tackle for 4 yards (tackle by Denzel Perryman and Johnathan Hankins),,
3,7:38,1,10,LAC 37,7,21,Justin Herbert pass incomplete deep right intended for Keenan Allen,,
3,7:32,2,10,LAC 37,7,21,Larry Rountree up the middle for 8 yards (tackle by K.J. Wright),,
3,6:56,3,2,LAC 45,7,21,Larry Rountree left end for no gain (tackle by Cory Littleton),,
