Unnamed: 0,LVR,LAC
First Downs,13,25
Rush-Yds-TDs,18-48-0,34-168-1
Cmp-Att-Yd-TD-INT,21-34-196-2-1,25-39-222-3-0
Sacked-Yards,4-31,2-10
Net Pass Yards,165,212
Total Yards,213,380
Fumbles-Lost,2-0,0-0
Turnovers,1,0
Penalties-Yards,7-58,7-105
Third Down Conv.,4-13,4-13
Fourth Down Conv.,1-3,2-3
Time of Possession,25:18,34:42
