Quarter,Time,Tm,Detail,LVR,LAC
1.0,8:01,Chargers,Donald Parham 4 yard pass from Justin Herbert (Tristan Vizcaino kick),0,7
2.0,4:16,Chargers,Jared Cook 10 yard pass from Justin Herbert (Tristan Vizcaino kick),0,14
,0:29,Chargers,Austin Ekeler 14 yard pass from Justin Herbert (Tristan Vizcaino kick),0,21
3.0,9:01,Raiders,Hunter Renfrow 10 yard pass from Derek Carr (Daniel Carlson kick),7,21
,1:44,Raiders,Darren Waller 3 yard pass from Derek Carr (Daniel Carlson kick),14,21
4.0,5:20,Chargers,Austin Ekeler 11 yard rush (Tristan Vizcaino kick),14,28
