Unnamed: 0,IND,NYJ
First Downs,10,26
Rush-Yds-TDs,14-52-0,42-180-2
Cmp-Att-Yd-TD-INT,14-31-137-0-2,19-25-222-3-0
Sacked-Yards,1-13,2-6
Net Pass Yards,124,216
Total Yards,176,396
Fumbles-Lost,2-1,0-0
Turnovers,3,0
Penalties-Yards,2-10,3-30
Third Down Conv.,5-13,6-11
Fourth Down Conv.,0-0,0-0
Time of Possession,19:42,40:18
