Quarter,Time,Tm,Detail,IND,NYJ
1.0,10:50,Jets,Richie Anderson 56 yard pass from Chad Pennington (John Hall kick),0,7
2.0,14:08,Jets,John Hall 41 yard field goal,0,10
,9:41,Jets,LaMont Jordan 1 yard rush (John Hall kick),0,17
,0:37,Jets,Santana Moss 4 yard pass from Chad Pennington (John Hall kick),0,24
3.0,13:28,Jets,John Hall 39 yard field goal,0,27
,1:44,Jets,Chris Baker 3 yard pass from Chad Pennington (John Hall kick),0,34
4.0,4:59,Jets,LaMont Jordan 1 yard rush (John Hall kick),0,41
