Quarter,Time,Tm,Detail,CIN,DEN
1.0,6:34,Bengals,Evan McPherson 53 yard field goal,3,0
2.0,10:44,Broncos,Brandon McManus 54 yard field goal,3,3
,0:00,Bengals,Evan McPherson 58 yard field goal,6,3
3.0,6:21,Bengals,Evan McPherson 26 yard field goal,9,3
,1:15,Broncos,Tim Patrick 25 yard pass from Drew Lock (Brandon McManus kick),9,10
,0:30,Bengals,Tyler Boyd 56 yard pass from Joe Burrow (pass failed),15,10
