Quarter,Time,Tm,Detail,PHI,SFO
1.0,12:19,Eagles,Brad Smith blocked punt recovery in end zone (Cody Parkey kick),7,0
,3:32,49ers,Phil Dawson 29 yard field goal,7,3
2.0,14:45,49ers,Frank Gore 55 yard pass from Colin Kaepernick (Phil Dawson kick),7,10
,12:02,Eagles,Malcolm Jenkins 53 yard interception return (Cody Parkey kick),14,10
,8:49,Eagles,Darren Sproles 82 yard punt return (Cody Parkey kick),21,10
,0:59,49ers,Phil Dawson 51 yard field goal,21,13
3.0,8:06,49ers,Stevie Johnson 12 yard pass from Colin Kaepernick (Phil Dawson kick),21,20
,3:33,49ers,Phil Dawson 46 yard field goal,21,23
4.0,6:35,49ers,Phil Dawson 31 yard field goal,21,26
