Unnamed: 0,PHI,SFO
First Downs,11,20
Rush-Yds-TDs,12-22-0,42-218-0
Cmp-Att-Yd-TD-INT,21-43-195-0-2,17-30-218-2-1
Sacked-Yards,1-4,4-29
Net Pass Yards,191,189
Total Yards,213,407
Fumbles-Lost,2-2,0-0
Turnovers,4,1
Penalties-Yards,10-70,10-80
Third Down Conv.,5-13,8-19
Fourth Down Conv.,0-2,0-0
Time of Possession,17:43,42:17
