Unnamed: 0,MIN,DET
First Downs,31,21
Rush-Yds-TDs,31-125-2,22-129-2
Cmp-Att-Yd-TD-INT,28-40-405-3-0,20-31-293-3-1
Sacked-Yards,3-22,1-5
Net Pass Yards,383,288
Total Yards,508,417
Fumbles-Lost,2-0,1-1
Turnovers,0,2
Penalties-Yards,4-35,7-51
Third Down Conv.,4-13,5-10
Fourth Down Conv.,2-2,1-1
Time of Possession,35:13,24:47
