Quarter,Time,Tm,Detail,MIN,DET
1.0,4:45,Lions,Marvin Jones 43 yard pass from Matthew Stafford (Matt Prater kick failed),0,6
,0:34,Vikings,Alexander Mattison 28 yard pass from Kirk Cousins (Dan Bailey kick),7,6
2.0,13:19,Lions,Quintez Cephus 20 yard pass from Matthew Stafford (Matt Prater kick),7,13
,8:51,Vikings,Ameer Abdullah 4 yard pass from Kirk Cousins (Dan Bailey kick),14,13
,7:13,Lions,Matt Prater 54 yard field goal,14,16
,0:04,Vikings,Chad Beebe 40 yard pass from Kirk Cousins (Dan Bailey kick),21,16
3.0,14:09,Lions,Marvin Jones 26 yard pass from Matthew Stafford (Matt Prater kick),21,23
,11:35,Vikings,Alexander Mattison 2 yard rush (Dan Bailey kick),28,23
,7:55,Vikings,Dan Bailey 23 yard field goal,31,23
,3:02,Lions,Adrian Peterson 2 yard rush (pass failed),31,29
4.0,10:32,Vikings,Kirk Cousins 1 yard rush (Dan Bailey kick failed),37,29
,4:26,Lions,D'Andre Swift 2 yard rush (pass failed),37,35
