Unnamed: 0,DET,GNB
First Downs,27,15
Rush-Yds-TDs,32-135-1,25-140-2
Cmp-Att-Yd-TD-INT,27-45-264-1-1,14-24-173-0-0
Sacked-Yards,1-13,3-25
Net Pass Yards,251,148
Total Yards,386,288
Fumbles-Lost,1-1,2-1
Turnovers,2,1
Penalties-Yards,5-55,7-50
Third Down Conv.,11-17,5-11
Fourth Down Conv.,1-2,0-0
Time of Possession,37:14,22:46
