Quarter,Time,Down,ToGo,Location,NYG,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,,,NYG 30,0,0,"Jay Feely kicks off 62 yards, returned by Chris Carr for 30 yards (tackle by David Tyree)",0.000,1.470
1,14:54,1,10,OAK 38,0,0,Kerry Collins pass complete to Jerry Porter for 13 yards (tackle by Alonzo Jackson),1.470,2.320
1,14:19,1,10,NYG 49,0,0,"Penalty on Robert Gallery: False Start, 5 yards (no play)",2.320,1.990
1,13:59,1,15,OAK 46,0,0,Kerry Collins pass incomplete intended for Randal Williams,1.990,1.110
1,13:52,2,15,OAK 46,0,0,Zack Crockett right tackle for -2 yards (tackle by Alonzo Jackson and Michael Strahan),1.110,0.170
1,13:12,3,17,OAK 44,0,0,Kerry Collins pass complete to Jerry Porter for 7 yards (tackle by Nick Greisen),0.170,0.000
1,12:36,4,10,NYG 49,0,0,"Shane Lechler punts 44 yards, returned by Chad Morton for 2 yards (tackle by Omar Easy)",0.000,0.380
1,12:24,1,10,NYG 7,0,0,Tiki Barber right tackle for 5 yards (tackle by Danny Clark),-0.380,-0.420
1,11:49,2,5,NYG 12,0,0,Eli Manning pass complete to Plaxico Burress for 7 yards (tackle by Danny Clark),-0.420,0.150
1,11:11,1,10,NYG 19,0,0,Eli Manning pass incomplete intended for Tiki Barber (defended by Tommy Kelly),0.150,-0.390
1,11:07,2,10,NYG 19,0,0,Tiki Barber up the middle for 7 yards (tackle by Kirk Morrison),-0.390,-0.160
1,10:28,3,3,NYG 26,0,0,"Penalty on Luke Petitgout: False Start, 5 yards (no play)",-0.160,-0.810
1,10:04,3,8,NYG 21,0,0,Eli Manning pass incomplete intended for Amani Toomer,-0.810,-1.960
1,9:58,4,8,NYG 21,0,0,"Jeff Feagles punts 47 yards, returned by Chris Carr for 9 yards (tackle by Justin Tuck)",-1.960,-1.660
1,9:47,1,10,OAK 41,0,0,Zack Crockett right tackle for 5 yards (tackle by Osi Umenyiora),1.660,1.800
1,9:14,2,5,OAK 46,0,0,Zack Crockett left guard for 1 yard (tackle by Kevin Lewis),1.800,1.220
1,8:40,3,4,OAK 47,0,0,Kerry Collins pass incomplete intended for Randal Williams,1.220,-0.260
1,8:35,4,4,OAK 47,0,0,"Shane Lechler punts 44 yards, fair catch by Chad Morton",-0.260,0.380
1,8:26,1,10,NYG 9,0,0,Eli Manning pass incomplete intended for Plaxico Burress (defended by Nnamdi Asomugha),-0.380,-0.780
1,8:16,2,10,NYG 9,0,0,"Penalty on Visanthe Shiancoe: False Start, 4 yards (no play)",-0.780,-1.070
1,8:16,2,14,NYG 5,6,0,"Tiki Barber up the middle for 95 yards, touchdown",-1.070,7.000
1,,,,OAK 2,7,0,Jay Feely kicks extra point good,0.000,0.000
1,,,,NYG 30,7,0,"Jay Feely kicks off 59 yards, returned by Chris Carr for 22 yards (tackle by Corey Webster)",0.000,1.140
,,,,,,,"OAK challenged the ruling, and the original play was overturned.",,
1,7:50,1,10,OAK 33,7,0,Kerry Collins pass incomplete intended for Jerry Porter,1.140,0.590
1,7:46,2,10,OAK 33,7,0,Kerry Collins pass complete to Randy Moss for 7 yards (tackle by Corey Webster),0.590,0.830
1,7:23,3,3,OAK 40,7,0,Kerry Collins pass complete to Jerry Porter for 13 yards (tackle by Will Allen),0.830,2.460
1,7:02,1,10,NYG 47,7,0,Zack Crockett right tackle for no gain (tackle by Nick Greisen),2.460,1.910
1,6:23,2,10,NYG 47,7,0,Kerry Collins pass complete to Doug Gabriel for 11 yards (tackle by Curtis DeLoatch),1.910,3.180
1,5:45,1,10,NYG 36,7,0,"Kerry Collins pass incomplete intended for John Paul Foschi. Penalty on Osi Umenyiora: Defensive Offside, 5 yards (no play)",3.180,3.910
1,5:39,1,5,NYG 31,7,0,Zack Crockett right tackle for 2 yards (tackle by Kevin Lewis and Michael Strahan),3.910,3.580
1,5:01,2,3,NYG 29,7,0,Justin Fargas right tackle for -2 yards (tackle by Kenderick Allen),3.580,2.610
1,4:20,3,5,NYG 31,7,0,Kerry Collins pass complete to Jerry Porter for 16 yards (tackle by Gibril Wilson),2.610,4.580
1,3:38,1,10,NYG 15,7,6,"Kerry Collins pass complete to Randy Moss for 15 yards, touchdown",4.580,7.000
1,,,,NYG 2,7,7,Sebastian Janikowski kicks extra point good,0.000,0.000
1,,,,OAK 30,7,7,"Sebastian Janikowski kicks off 53 yards, returned by Chad Morton for 13 yards (tackle by Randal Williams)",0.000,0.940
