Quarter,Time,Tm,Detail,NYG,OAK
1.0,7:59,Giants,Tiki Barber 95 yard rush (Jay Feely kick),7,0
,3:33,Raiders,Randy Moss 15 yard pass from Kerry Collins (Sebastian Janikowski kick),7,7
2.0,12:37,Giants,Jay Feely 25 yard field goal,10,7
,9:41,Giants,Plaxico Burress 78 yard pass from Eli Manning (Jay Feely kick),17,7
,1:56,Giants,Jay Feely 38 yard field goal,20,7
,0:19,Raiders,Doug Gabriel 8 yard pass from Kerry Collins (Sebastian Janikowski kick),20,14
3.0,3:28,Giants,Brandon Jacobs 1 yard rush (Jay Feely kick),27,14
,2:28,Raiders,Randy Moss 44 yard pass from Kerry Collins (Sebastian Janikowski kick),27,21
4.0,14:48,Giants,Jay Feely 46 yard field goal,30,21
