Unnamed: 0,PHI,SEA
First Downs,25,20
Rush-Yds-TDs,26-98-0,25-101-0
Cmp-Att-Yd-TD-INT,29-45-348-1-1,20-31-227-3-0
Sacked-Yards,3-21,2-18
Net Pass Yards,327,209
Total Yards,425,310
Fumbles-Lost,2-1,0-0
Turnovers,2,0
Penalties-Yards,7-64,5-46
Third Down Conv.,8-16,6-12
Fourth Down Conv.,2-4,0-0
Time of Possession,31:54,28:06
