Quarter,Time,Tm,Detail,PHI,SEA
1.0,9:47,Seahawks,Blair Walsh 46 yard field goal,0,3
,0:10,Seahawks,Jimmy Graham 11 yard pass from Russell Wilson (Blair Walsh kick),0,10
2.0,7:51,Eagles,Jake Elliott 26 yard field goal,3,10
3.0,5:42,Seahawks,Tyler Lockett 1 yard pass from Russell Wilson (Blair Walsh kick),3,17
4.0,12:08,Eagles,Nelson Agholor 27 yard pass from Carson Wentz (Jake Elliott kick),10,17
,7:29,Seahawks,J.D. McKissic 15 yard pass from Russell Wilson (Blair Walsh kick),10,24
