Unnamed: 0,TAM,MIA
First Downs,19,18
Rush-Yds-TDs,24-53-0,19-83-0
Cmp-Att-Yd-TD-INT,22-37-275-2-0,23-40-365-2-3
Sacked-Yards,1-7,1-0
Net Pass Yards,268,365
Total Yards,321,448
Fumbles-Lost,0-0,4-2
Turnovers,0,5
Penalties-Yards,9-82,17-123
Third Down Conv.,3-13,6-13
Fourth Down Conv.,0-0,0-1
Time of Possession,31:49,28:11
