Unnamed: 0,NYJ,CHI
First Downs,19,20
Rush-Yds-TDs,24-134-0,26-105-2
Cmp-Att-Yd-TD-INT,22-33-207-1-0,22-27-177-0-0
Sacked-Yards,1-7,4-16
Net Pass Yards,200,161
Total Yards,334,266
Fumbles-Lost,2-1,1-0
Turnovers,1,0
Penalties-Yards,7-54,8-74
Third Down Conv.,4-11,6-11
Fourth Down Conv.,1-2,0-0
Time of Possession,27:02,32:58
