Quarter,Time,Down,ToGo,Location,NYJ,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,
1,15:00,,,NYJ 30,0,0,"John Hall kicks off 66 yards, returned by Ahmad Merritt for 13 yards (tackle by Jason Glenn)",0.000,-0.060
1,14:51,1,10,CHI 17,0,0,Chris Chandler pass complete to John Gilmore for 16 yards (tackle by Mo Lewis),-0.060,1.140
1,14:06,1,10,CHI 33,0,0,Leon Johnson left guard for -1 yards (tackle by Josh Evans and Mo Lewis),1.140,0.460
1,13:30,2,11,CHI 32,0,0,Chris Chandler pass complete to Dez White for 3 yards (tackle by Sam Garnes),0.460,0.170
1,13:03,3,8,CHI 35,0,0,"Penalty on Ahmad Merritt: False Start, 5 yards (no play)",0.170,-0.490
1,12:45,3,13,CHI 30,0,0,Chris Chandler pass incomplete intended for Marty Booker (defended by Ray Mickens),-0.490,-1.370
1,12:28,4,13,CHI 30,0,0,"Brad Maynard punts 46 yards, returned by Santana Moss for 8 yards (tackle by Bobbie Howard)",-1.370,-1.070
1,12:28,1,10,NYJ 32,0,0,Chad Pennington pass complete to Richie Anderson for 4 yards (tackle by Roosevelt Williams),1.070,1.070
1,12:04,2,6,NYJ 36,0,0,Curtis Martin left guard for 5 yards (tackle by Rosevelt Colvin),1.070,1.030
1,11:24,3,1,NYJ 41,0,0,Curtis Martin right tackle for 1 yard (tackle by Keith Traylor and Michael Green),1.030,1.730
1,10:47,1,10,NYJ 42,0,0,Chad Pennington pass incomplete intended for Laveranues Coles (defended by Alex Brown),1.730,1.190
1,10:33,2,10,NYJ 42,0,0,Curtis Martin left tackle for -1 yards (tackle by Keith Traylor),1.190,0.370
1,10:02,3,11,NYJ 41,0,0,Chad Pennington pass complete to Curtis Martin for 5 yards (tackle by Michael Green). Penalty on Kevin Mawae: Illegal Block Above the Waist (Declined),0.370,-0.320
1,9:48,4,6,NYJ 46,0,0,"Matt Turk punts 43 yards, fair catch by Ahmad Merritt. Penalty on James Darling: Ineligible Downfield Kick, 5 yards (no play)",-0.320,-0.650
1,9:32,4,11,NYJ 41,0,0,"Matt Turk punts 47 yards, muffed catch by Ahmad Merritt, ball out of bounds at CHI-13",-0.650,0.320
1,9:30,1,10,CHI 13,0,0,Chris Chandler pass complete to Marty Booker for 4 yards (tackle by Aaron Beasley),-0.320,-0.300
1,9:07,2,6,CHI 17,0,0,Chris Chandler for 5 yards (tackle by Marvin Jones),-0.300,-0.350
1,8:22,3,1,CHI 22,0,0,Leon Johnson left tackle for 6 yards (tackle by Sam Cowart and Jon McGraw),-0.350,0.810
1,7:40,1,10,CHI 28,0,0,Leon Johnson left guard for 4 yards (tackle by Mo Lewis and Jason Ferguson),0.810,0.800
1,7:00,2,6,CHI 32,0,0,Chris Chandler sacked by Shaun Ellis for -3 yards,0.800,-0.300
1,6:12,3,9,CHI 29,0,0,Chris Chandler pass complete to Marty Booker for 10 yards (tackle by Ray Mickens),-0.300,1.530
1,5:38,1,10,CHI 39,0,0,Leon Johnson left guard for 5 yards (tackle by Sam Cowart),1.530,1.660
1,5:01,2,5,CHI 44,0,0,Chris Chandler pass complete to Leon Johnson for 7 yards (tackle by Mo Lewis and Sam Cowart),1.660,2.320
1,4:19,1,10,NYJ 49,0,0,Ahmad Merritt left end for 5 yards (tackle by Aaron Beasley and Sam Garnes),2.320,2.460
1,3:38,2,5,NYJ 44,0,0,Chris Chandler pass complete to Marty Booker for 7 yards (tackle by Sam Garnes),2.460,3.120
1,2:54,1,10,NYJ 37,0,0,"Chris Chandler pass complete to John Gilmore for 19 yards (tackle by Sam Cowart). Penalty on James Williams: Tripping, 10 yards (no play)",3.120,2.460
1,2:17,1,20,NYJ 47,0,0,Chris Chandler pass incomplete intended for Dez White,2.460,1.220
1,2:12,2,20,NYJ 47,0,0,Leon Johnson right guard for 1 yard (tackle by Mo Lewis),1.220,0.700
1,1:29,3,19,NYJ 46,0,0,Chris Chandler sacked by John Abraham for -7 yards,0.700,-0.260
1,1:08,4,26,CHI 47,0,0,"Brad Maynard punts 51 yards, out of bounds",-0.260,0.380
1,0:57,1,10,NYJ 2,0,0,Chad Pennington pass complete to Laveranues Coles for 21 yards (tackle by Jerry Azumah),-0.380,0.480
1,0:31,1,10,NYJ 23,0,0,Curtis Martin right tackle for 4 yards (tackle by Bryan Robinson),0.480,0.470
Quarter,Time,Down,ToGo,Location,NYJ,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,NYJ 27,0,0,Chad Pennington pass complete to Laveranues Coles for 15 yards (tackle by Bobbie Howard),0.470,1.730
2,14:14,1,10,NYJ 42,0,0,Curtis Martin left tackle for 3 yards (tackle by Alex Brown),1.730,1.590
2,13:32,2,7,NYJ 45,0,0,Curtis Martin right guard for 9 yards (tackle by Mike Caldwell and Larry Whigham),1.590,2.520
2,12:51,1,10,CHI 46,0,0,Laveranues Coles right end for 5 yards (tackle by Jerry Azumah),2.520,2.650
2,12:20,2,5,CHI 41,0,0,"Chad Pennington pass incomplete intended for Santana Moss. Penalty on Santana Moss: Offensive Pass Interference, 10 yards (no play)",2.650,1.300
2,12:14,2,15,NYJ 49,0,0,Chad Pennington pass incomplete intended for Santana Moss,1.300,0.630
2,12:06,3,15,NYJ 49,0,0,Curtis Martin right tackle for 14 yards (tackle by Larry Whigham and Roosevelt Williams),0.630,0.790
2,11:37,4,1,CHI 37,0,0,"Chad Pennington for no gain. Chad Pennington fumbles, recovered by Chad Pennington at CHI-38",0.790,-1.530
2,11:34,1,10,CHI 39,0,0,Chris Chandler pass complete to Stanley Pritchett for 24 yards (tackle by Aaron Beasley),1.530,3.120
2,10:51,1,10,NYJ 37,0,0,Leon Johnson sacked by Sam Cowart for 0 yards,3.120,2.570
2,10:04,2,10,NYJ 37,0,0,Leon Johnson right guard for no gain (tackle by Mo Lewis),2.570,1.880
2,9:22,3,10,NYJ 37,0,0,"Penalty on Olin Kreutz: False Start, 5 yards (no play)",1.880,1.220
2,9:01,3,15,NYJ 42,0,0,Chris Chandler pass complete to Dez White for 7 yards (tackle by Ray Mickens),1.220,0.970
2,8:16,4,8,NYJ 35,0,3,Paul Edinger 53 yard field goal good,0.970,3.000
2,8:16,,,CHI 30,0,3,"Paul Edinger kicks off 30 yards, out of bounds",0.000,-0.970
2,8:16,4,8,NYJ 35,0,3,--,0.970,-1.600
2,8:11,1,10,NYJ 40,0,3,Chad Pennington sacked by Phillip Daniels for -7 yards,1.600,0.110
2,7:36,2,17,NYJ 33,0,3,Curtis Martin left end for 10 yards (tackle by Jerry Azumah),0.110,0.760
