Quarter,Time,Tm,Detail,NYJ,CHI
2.0,8:11,Bears,Paul Edinger 53 yard field goal,0,3
,1:36,Bears,Adrian Peterson 5 yard rush (Paul Edinger kick),0,10
3.0,10:55,Jets,Wayne Chrebet 5 yard pass from Chad Pennington (John Hall kick),7,10
,7:19,Bears,Leon Johnson 2 yard rush (Paul Edinger kick),7,17
,0:13,Jets,John Hall 42 yard field goal,10,17
4.0,7:22,Jets,John Hall 28 yard field goal,13,17
,2:38,Bears,Paul Edinger 48 yard field goal,13,20
