Quarter,Time,Tm,Detail,GNB,DET
2.0,0:15,Lions,Shane Zylstra 1 yard pass from Jared Goff (Jamaal Williams run),0,8
3.0,4:53,Packers,Allen Lazard 20 yard pass from Aaron Rodgers (pass failed),6,8
4.0,14:51,Lions,James Mitchell 3 yard pass from Jared Goff (Michael Badgley kick),6,15
,6:36,Packers,Mason Crosby 25 yard field goal,9,15
