Unnamed: 0,GNB,DET
First Downs,19,19
Rush-Yds-TDs,25-106-0,31-117-0
Cmp-Att-Yd-TD-INT,23-43-291-1-3,14-26-137-2-1
Sacked-Yards,1-8,0-0
Net Pass Yards,283,137
Total Yards,389,254
Fumbles-Lost,2-0,0-0
Turnovers,3,1
Penalties-Yards,8-81,7-62
Third Down Conv.,8-15,6-11
Fourth Down Conv.,1-4,0-2
Time of Possession,34:42,25:18
