Quarter,Time,Down,ToGo,Location,MIA,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CHI 25,0,0,Justin Fields pass complete short right to Cole Kmet for 7 yards (tackle by Eric Rowe),0.610,1.010
1,14:24,2,3,CHI 32,0,0,Justin Fields pass complete short middle to Dante Pettis for 12 yards (tackle by Jevon Holland),1.010,1.860
1,13:44,1,10,CHI 44,0,0,Justin Fields pass complete short left to Chase Claypool for 1 yard (tackle by Kader Kohou),1.860,1.450
1,13:07,2,9,CHI 45,0,0,David Montgomery left tackle for 7 yards (tackle by Jaelan Phillips),1.450,1.690
1,12:30,3,2,MIA 48,0,0,Justin Fields pass incomplete intended for Chase Claypool,1.690,1.160
1,12:30,3,10,MIA 48,0,0,"Penalty on Keion Crossen: Defensive Pass Interference, 28 yards (accepted) (no play)",1.160,4.240
1,12:23,1,10,MIA 20,0,0,David Montgomery right guard for no gain (tackle by Jerome Baker and John Jenkins),4.240,3.690
1,11:42,2,10,MIA 20,0,0,Justin Fields pass incomplete deep right intended for Darnell Mooney,3.690,3.010
1,11:37,3,10,MIA 20,0,0,Justin Fields scrambles right end for 6 yards (tackle by Jevon Holland),3.010,2.580
1,11:07,4,4,MIA 14,0,3,Cairo Santos 32 yard field goal good,2.580,3.000
1,11:03,,,CHI 35,0,3,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
1,11:03,1,10,MIA 25,0,3,Raheem Mostert left tackle for 2 yards (tackle by Jack Sanborn),0.610,0.330
1,10:25,2,8,MIA 27,0,3,Tua Tagovailoa pass complete deep middle to Jaylen Waddle for 17 yards (tackle by Jaquan Brisker),0.330,1.860
1,9:49,1,10,MIA 44,0,3,Tua Tagovailoa pass complete short left to Mike Gesicki for 3 yards (tackle by Jaquan Brisker),1.860,1.720
1,9:11,2,7,MIA 47,0,3,Raheem Mostert right end for 2 yards (tackle by Joe Thomas),1.720,1.290
1,8:28,3,5,MIA 49,0,3,Tua Tagovailoa pass complete deep middle to Trent Sherfield for 18 yards (tackle by Eddie Jackson),1.290,3.380
1,7:42,1,10,CHI 33,0,3,"Tua Tagovailoa pass incomplete deep right intended for Tyreek Hill. Penalty on Kindle Vildor: Defensive Pass Interference, 32 yards (accepted) (no play)",3.380,6.970
1,7:35,1,1,CHI 1,6,3,"Raheem Mostert right guard for 1 yard, touchdown",6.970,7.000
1,7:33,,,CHI 15,7,3,Jason Sanders kicks extra point good,0.000,0.000
1,7:33,,,MIA 35,7,3,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,7:33,1,10,CHI 25,7,3,David Montgomery right end for 1 yard (tackle by Jerome Baker),0.610,0.200
1,6:56,2,9,CHI 26,7,3,Cole Kmet left end for 8 yards (tackle by Jerome Baker),0.200,0.560
1,6:21,3,1,CHI 34,7,3,Cole Kmet up the middle for 1 yard (tackle by Elandon Roberts and Zach Sieler),0.560,1.270
1,5:40,1,10,CHI 35,7,3,Justin Fields pass incomplete short right intended for Chase Claypool,1.270,0.720
1,5:37,2,10,CHI 35,7,3,Justin Fields pass complete short left to Chase Claypool for 12 yards (tackle by Elandon Roberts),0.720,2.060
1,5:04,1,10,CHI 47,7,3,Justin Fields pass complete short right to Darnell Mooney for 2 yards (tackle by Jerome Baker),2.060,1.790
1,4:25,2,8,CHI 49,7,3,Justin Fields pass incomplete short left intended for Chase Claypool,1.790,1.090
1,4:22,3,8,CHI 49,7,3,Justin Fields scrambles right tackle for 12 yards (tackle by Keion Crossen),1.090,2.980
1,3:37,1,10,MIA 39,7,3,Khalil Herbert left tackle for 4 yards (tackle by Elandon Roberts and Jaelan Phillips),2.980,2.980
1,3:01,2,6,MIA 35,7,3,Khalil Herbert right guard for 4 yards (tackle by Jerome Baker and Elandon Roberts),2.980,2.810
1,2:23,3,2,MIA 31,7,3,David Montgomery right guard for 3 yards (tackle by Elandon Roberts and Elijah Campbell),2.810,3.710
1,1:44,1,10,MIA 28,7,3,David Montgomery left end for 1 yard (tackle by Kader Kohou),3.710,3.300
1,0:57,2,9,MIA 27,7,3,David Montgomery left end for -1 yards (tackle by Christian Wilkins),3.300,2.480
1,0:18,3,10,MIA 28,7,3,Justin Fields pass complete short right to Darnell Mooney for 10 yards (tackle by Kader Kohou),2.480,4.370
Quarter,Time,Down,ToGo,Location,MIA,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIA 18,7,9,"Justin Fields pass complete short right to Cole Kmet for 18 yards, touchdown",4.370,7.000
2,14:52,,,MIA 15,7,10,Cairo Santos kicks extra point good,0.000,0.000
2,14:52,,,CHI 35,7,10,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
2,14:46,1,10,MIA 25,7,10,"Tua Tagovailoa pass complete to Tyreek Hill for 7 yards. Penalty on Terron Armstead: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.610,0.280
2,14:23,1,15,MIA 20,7,10,Tua Tagovailoa pass complete deep right to Tyreek Hill for 25 yards (tackle by Jaquan Brisker),0.280,1.930
2,13:47,1,10,MIA 45,7,10,Tua Tagovailoa pass complete short left to Trent Sherfield for 1 yard (tackle by Kyler Gordon and Jaylon Jones),1.930,1.520
2,13:10,2,9,MIA 46,7,10,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 26 yards (tackle by Eddie Jackson),1.520,3.710
2,12:29,1,10,CHI 28,7,10,Tua Tagovailoa pass complete short left to Cedrick Wilson for 14 yards (tackle by Eddie Jackson),3.710,4.650
2,11:51,1,10,CHI 14,7,10,Jeff Wilson right guard for 4 yards (tackle by Jack Sanborn),4.650,4.710
2,11:05,2,6,CHI 10,7,10,"Tua Tagovailoa pass complete short right to Jeff Wilson for 4 yards (tackle by Nicholas Morrow). Penalty on Dominique Robinson: Roughing the Passer, 3 yards (accepted)",4.710,6.510
2,10:42,,,,,,Timeout #1 by Miami Dolphins,,
2,10:42,1,3,CHI 3,13,10,"Tua Tagovailoa pass complete short right to Tyreek Hill for 3 yards, touchdown",6.510,7.000
2,10:39,,,CHI 15,14,10,Jason Sanders kicks extra point good,0.000,0.000
2,10:39,,,MIA 35,14,10,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
2,10:39,1,10,CHI 25,14,10,Justin Fields left end for 10 yards (tackle by Kader Kohou),0.610,1.270
2,10:00,1,10,CHI 35,14,10,Khalil Herbert left guard for 2 yards (tackle by Zach Sieler and Jaelan Phillips),1.270,0.990
2,9:23,2,8,CHI 37,14,10,Khalil Herbert left guard for 3 yards (tackle by Christian Wilkins and Elandon Roberts),0.990,0.700
2,8:39,3,5,CHI 40,14,10,Justin Fields pass incomplete deep right intended for Equanimeous St. Brown,0.700,-0.720
2,8:33,4,5,CHI 40,20,10,"Trenton Gill punts blocked by Jaelan Phillips, touchdown",-0.720,-7.000
2,8:25,,,CHI 15,21,10,Jason Sanders kicks extra point good,0.000,0.000
2,8:25,,,MIA 35,21,10,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
2,8:25,1,10,CHI 25,21,10,Justin Fields pass complete short left to Cole Kmet for 2 yards (tackle by Eric Rowe),0.610,0.330
2,7:55,2,8,CHI 27,21,10,Justin Fields left end for 17 yards (tackle by Jevon Holland),0.330,1.860
2,7:24,1,10,CHI 44,21,10,David Montgomery left tackle for 4 yards (tackle by Zach Sieler and Elandon Roberts),1.860,1.860
2,6:40,2,6,CHI 48,21,10,Justin Fields left tackle for 7 yards (tackle by Eric Rowe),1.860,2.590
2,6:03,1,10,MIA 45,21,10,David Montgomery right tackle for 3 yards (tackle by Eric Rowe and Xavien Howard),2.590,2.380
2,5:25,2,8,MIA 42,21,10,Justin Fields pass complete short left to N'Keal Harry for 6 yards (tackle by Kader Kohou and Eric Rowe),2.380,2.540
2,4:56,3,1,MIA 36,21,10,Justin Fields right guard for 2 yards (tackle by Jaelan Phillips and Christian Wilkins),2.540,3.310
2,4:15,1,10,MIA 34,21,10,Justin Fields pass complete short left to David Montgomery for 8 yards (tackle by Noah Igbinoghene),3.310,3.850
2,3:45,2,2,MIA 26,21,10,David Montgomery left tackle for 8 yards (tackle by Zach Sieler),3.850,4.370
2,3:03,1,10,MIA 18,21,10,David Montgomery left guard for no gain (tackle by Zach Sieler and Raekwon Davis),4.370,3.800
2,2:23,2,10,MIA 18,21,10,Darnell Mooney right end for 2 yards (tackle by Kader Kohou),3.800,3.300
2,2:00,3,8,MIA 16,21,16,"Justin Fields pass complete deep left to Darnell Mooney for 16 yards, touchdown",3.300,7.000
2,1:53,,,MIA 15,21,17,Cairo Santos kicks extra point good,0.000,0.000
2,1:53,,,CHI 35,21,17,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
2,1:53,1,10,MIA 25,21,17,Raheem Mostert right guard for 14 yards (tackle by Kyler Gordon and Eddie Jackson),0.610,1.530
2,1:12,1,10,MIA 39,21,17,Tua Tagovailoa scrambles left end for 4 yards (tackle by Al-Quadin Muhammad),1.530,1.530
2,1:04,2,6,MIA 43,21,17,Tua Tagovailoa pass incomplete short middle intended for Raheem Mostert,1.530,0.830
2,1:00,3,6,MIA 43,21,17,Tua Tagovailoa pass complete deep right to Tyreek Hill for 39 yards (tackle by Jaylon Johnson),0.830,4.370
2,0:52,1,10,CHI 18,21,17,Raheem Mostert left end for no gain (tackle by Nicholas Morrow),4.370,3.800
2,0:25,2,10,CHI 18,21,17,"Penalty on MIA: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",3.800,3.150
2,0:25,,,,,,Timeout #2 by Miami Dolphins,,
2,0:25,2,15,CHI 23,21,17,Tua Tagovailoa pass incomplete short right intended for Raheem Mostert,3.150,2.480
2,0:20,3,15,CHI 23,21,17,Tua Tagovailoa pass complete short right to Jaylen Waddle for 12 yards (tackle by Kyler Gordon),2.480,2.800
2,0:12,,,,,,Timeout #3 by Miami Dolphins,,
2,0:12,4,3,CHI 11,21,17,Jason Sanders 29 yard field goal no good,2.800,-0.280
2,0:07,1,10,CHI 20,21,17,Justin Fields kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,MIA,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,21,17,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,MIA 25,21,17,Tua Tagovailoa pass complete deep right to Tyreek Hill for 22 yards (tackle by Kyler Gordon),0.610,2.060
3,14:24,1,10,MIA 47,21,17,Jeff Wilson right tackle for 28 yards (tackle by Eddie Jackson),2.060,3.910
