Quarter,Time,Tm,Detail,MIA,CHI
1.0,11:03,Bears,Cairo Santos 32 yard field goal,0,3
,7:33,Dolphins,Raheem Mostert 1 yard rush (Jason Sanders kick),7,3
2.0,14:52,Bears,Cole Kmet 18 yard pass from Justin Fields (Cairo Santos kick),7,10
,10:39,Dolphins,Tyreek Hill 3 yard pass from Tua Tagovailoa (Jason Sanders kick),14,10
,8:25,Dolphins,Andrew Van Ginkel 25 yard blocked punt return (Jason Sanders kick),21,10
,1:53,Bears,Darnell Mooney 16 yard pass from Justin Fields (Cairo Santos kick),21,17
3.0,12:47,Dolphins,Jaylen Waddle 18 yard pass from Tua Tagovailoa (Jason Sanders kick),28,17
,11:20,Bears,Justin Fields 61 yard rush (Trevon Wesco pass from Justin Fields),28,25
,6:02,Dolphins,Jeff Wilson 10 yard pass from Tua Tagovailoa (Jason Sanders kick),35,25
4.0,11:38,Bears,Cole Kmet 4 yard pass from Justin Fields (Cairo Santos kick),35,32
