Quarter,Time,Tm,Detail,TEN,JAX
1.0,14:00,Titans,Kevin Byard 30 yard fumble return (Randy Bullock kick),7,0
,11:21,Jaguars,James Robinson 1 yard rush (Matthew Wright kick failed),7,6
2.0,14:56,Titans,Derrick Henry 1 yard rush (Randy Bullock kick),14,6
,9:55,Jaguars,Jacob Hollister 1 yard pass from Trevor Lawrence (Matthew Wright kick),14,13
,5:49,Titans,MyCole Pruitt 14 yard pass from Ryan Tannehill (Randy Bullock kick),21,13
,0:31,Titans,Randy Bullock 34 yard field goal,24,13
3.0,9:48,Titans,Derrick Henry 9 yard rush (Randy Bullock kick),31,13
4.0,13:50,Jaguars,Trevor Lawrence 4 yard rush (pass failed),31,19
,1:54,Titans,Derrick Henry 10 yard rush (Randy Bullock kick failed),37,19
