Week,Day,Date,Time,Winner/tie,Unnamed: 5,Loser/tie,Unnamed: 7,PtsW,PtsL,YdsW,TOW,YdsL,TOL,url,Home,Away,File
Week1,Thu,2019-09-05,8:20PM,Green Bay Packers,@,Chicago Bears,boxscore,10,3,213,0,254,1,https://www.pro-football-reference.com/boxscores/201909050chi.htm,CHI,GB,2019_Week1_CHI_vs_GB
Week1,Sun,2019-09-08,1:00PM,Minnesota Vikings,,Atlanta Falcons,boxscore,28,12,269,0,345,3,https://www.pro-football-reference.com/boxscores/201909080min.htm,MIN,ATL,2019_Week1_MIN_vs_ATL
Week1,Sun,2019-09-08,1:00PM,Buffalo Bills,@,New York Jets,boxscore,17,16,370,4,223,1,https://www.pro-football-reference.com/boxscores/201909080nyj.htm,NYJ,BUF,2019_Week1_NYJ_vs_BUF
Week1,Sun,2019-09-08,1:00PM,Los Angeles Rams,@,Carolina Panthers,boxscore,30,27,349,1,343,3,https://www.pro-football-reference.com/boxscores/201909080car.htm,CAR,LAR,2019_Week1_CAR_vs_LAR
Week1,Sun,2019-09-08,1:00PM,Tennessee Titans,@,Cleveland Browns,boxscore,43,13,339,0,346,3,https://www.pro-football-reference.com/boxscores/201909080cle.htm,CLE,TEN,2019_Week1_CLE_vs_TEN
Week1,Sun,2019-09-08,1:00PM,Kansas City Chiefs,@,Jacksonville Jaguars,boxscore,40,26,491,0,428,2,https://www.pro-football-reference.com/boxscores/201909080jax.htm,JAX,KC,2019_Week1_JAX_vs_KC
Week1,Sun,2019-09-08,1:00PM,Baltimore Ravens,@,Miami Dolphins,boxscore,59,10,643,0,200,3,https://www.pro-football-reference.com/boxscores/201909080mia.htm,MIA,BAL,2019_Week1_MIA_vs_BAL
Week1,Sun,2019-09-08,1:00PM,Philadelphia Eagles,,Washington Redskins,boxscore,32,27,436,0,398,0,https://www.pro-football-reference.com/boxscores/201909080phi.htm,PHI,WAS,2019_Week1_PHI_vs_WAS
Week1,Sun,2019-09-08,4:05PM,Seattle Seahawks,,Cincinnati Bengals,boxscore,21,20,232,1,429,3,https://www.pro-football-reference.com/boxscores/201909080sea.htm,SEA,CIN,2019_Week1_SEA_vs_CIN
Week1,Sun,2019-09-08,4:05PM,Los Angeles Chargers,,Indianapolis Colts,boxscore,30,24,435,2,376,0,https://www.pro-football-reference.com/boxscores/201909080sdg.htm,LAC,IND,2019_Week1_LAC_vs_IND
Week1,Sun,2019-09-08,4:25PM,Detroit Lions,@,Arizona Cardinals,boxscore,27,27,477,2,387,1,https://www.pro-football-reference.com/boxscores/201909080crd.htm,ARI,DET,2019_Week1_ARI_vs_DET
