Unnamed: 0,ARI,NOR
First Downs,17,24
Rush-Yds-TDs,22-103-0,29-114-2
Cmp-Att-Yd-TD-INT,19-30-233-3-1,26-30-315-2-0
Sacked-Yards,2-19,1-8
Net Pass Yards,214,307
Total Yards,317,421
Fumbles-Lost,3-1,4-2
Turnovers,2,2
Penalties-Yards,10-78,3-15
Third Down Conv.,3-11,4-9
Fourth Down Conv.,2-2,1-1
Time of Possession,28:08,31:52
