Quarter,Time,Down,ToGo,Location,ARI,NOR,Detail,EPB,EPA
1,9:01,1,15,NOR 47,7,0,Drew Brees pass complete deep right to Terrance Copper for 21 yards (tackle by Calvin Pace),2.060,3.450
1,8:23,1,10,ARI 32,7,0,Drew Brees pass incomplete short right intended for David Patten,3.450,2.900
1,8:19,2,10,ARI 32,7,0,Drew Brees pass complete short right to Billy Miller for 6 yards (tackle by Joe Tafoya),2.900,3.010
1,7:34,3,4,ARI 26,7,0,Drew Brees pass complete short right to Aaron Stecker for 3 yards (tackle by Karlos Dansby),3.010,2.080
,,,,,,,"NOR challenged the first down ruling, and the play was upheld.",,
1,7:27,4,1,ARI 23,7,0,Aaron Stecker left guard for 3 yards (tackle by Gerald Hayes),2.080,4.240
1,6:56,1,10,ARI 20,7,0,Aaron Stecker left tackle for 1 yard (tackle by Calvin Pace),4.240,3.820
1,6:26,2,9,ARI 19,7,6,"Drew Brees pass complete deep right to Marques Colston for 19 yards, touchdown",3.820,7.000
1,,,,ARI 2,7,7,Martin Gramatica kicks extra point good,0.000,0.000
1,,,,NOR 30,7,7,"Martin Gramatica kicks off 64 yards, returned by Steve Breaston for 16 yards (tackle by Marvin Mitchell)",0.000,0.410
1,6:14,1,10,ARI 22,7,7,Kurt Warner pass incomplete short middle intended for Edgerrin James,0.410,-0.130
1,6:10,2,10,ARI 22,7,7,J.J. Arrington left guard for 3 yards (tackle by Charles Grant and Scott Fujita),-0.130,-0.430
1,5:26,3,7,ARI 25,7,7,Kurt Warner pass incomplete short left intended for Marcel Shipp,-0.430,-1.700
1,5:23,4,7,ARI 25,7,7,"Mitch Berger punts 52 yards, returned by Lance Moore for 3 yards (tackle by Ralph Brown). Penalty on Joe Tafoya: Illegal Formation, 5 yards (no play)",-1.700,-2.030
1,5:10,4,12,ARI 20,7,7,Mitch Berger punts 54 yards,-2.030,-0.670
1,4:58,1,10,NOR 26,7,7,Aaron Stecker right guard for 4 yards (tackle by Gabe Watson),0.670,0.670
1,4:27,2,6,NOR 30,7,7,Drew Brees pass complete short left to Marques Colston for 10 yards (tackle by Terrence Holt),0.670,1.600
1,3:56,1,10,NOR 40,7,7,Drew Brees pass complete short middle to Aaron Stecker for 7 yards (tackle by Gerald Hayes),1.600,2.000
1,3:20,2,3,NOR 47,7,7,Drew Brees pass complete short right to Marques Colston for 15 yards (tackle by Aaron Francisco),2.000,3.050
1,2:36,1,10,ARI 38,7,7,Aaron Stecker left guard for 10 yards (tackle by Antrel Rolle and Terrence Holt),3.050,3.710
1,1:55,1,10,ARI 28,7,7,Aaron Stecker right guard for 1 yard (tackle by Darnell Dockett),3.710,3.300
1,1:19,2,9,ARI 27,7,7,Pierre Thomas up the middle for 9 yards (tackle by Michael Adams),3.300,4.370
1,0:41,1,10,ARI 18,7,7,Aaron Stecker left guard for 4 yards (tackle by Darnell Dockett),4.370,4.430
1,0:06,2,6,ARI 14,7,7,Drew Brees pass complete short left to Aaron Stecker for 4 yards (tackle by Terrence Holt),4.430,4.510
Quarter,Time,Down,ToGo,Location,ARI,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,ARI 10,7,7,Drew Brees pass complete short left to Terrance Copper for 8 yards (tackle by Terrence Holt),4.510,6.740
2,14:22,1,2,ARI 2,7,7,Aaron Stecker left tackle for 1 yard (tackle by Alan Branch and Rodney Bailey),6.740,5.910
2,13:56,2,1,ARI 1,7,7,Drew Brees pass incomplete short right intended for Ronnie Ghent,5.910,5.170
2,13:52,3,1,ARI 1,7,13,"Aaron Stecker left guard for 1 yard, touchdown",5.170,7.000
2,,,,ARI 2,7,14,Martin Gramatica kicks extra point good,0.000,0.000
2,,,,NOR 30,7,14,"Martin Gramatica kicks off 64 yards, returned by Steve Breaston for 28 yards (tackle by Marvin Mitchell)",0.000,1.200
2,13:41,1,10,ARI 34,7,14,Kurt Warner pass complete short right to Terrelle Smith for 16 yards (tackle by Mark Simoneau),1.200,2.260
2,13:16,1,10,,7,14,"Edgerrin James left tackle for 6 yards (tackle by Jason Craft). Edgerrin James fumbles (forced by Jason Craft), recovered by Al Johnson at NOR-44",2.260,2.520
2,12:32,2,4,NOR 44,7,14,Kurt Warner pass complete short left to Larry Fitzgerald for 9 yards (tackle by Mike McKenzie),2.520,3.250
2,12:00,1,10,NOR 35,7,14,Edgerrin James left tackle for 21 yards (tackle by Roman Harper),3.250,4.650
2,11:22,1,10,NOR 14,7,14,"Kurt Warner pass complete short right to Larry Fitzgerald for 12 yards (tackle by Mike McKenzie). Penalty on ARI: Offensive Holding, 10 yards (no play)",4.650,3.970
2,10:57,1,20,NOR 24,7,14,Kurt Warner pass incomplete short right intended for J.J. Arrington (defended by Kevin Kaesviharn),3.970,2.740
2,10:51,2,20,NOR 24,7,14,Kurt Warner pass complete short right to Anquan Boldin for 6 yards (tackle by Scott Fujita),2.740,2.840
2,10:07,3,14,NOR 18,13,14,"Kurt Warner pass complete deep right to Larry Fitzgerald for 18 yards, touchdown",2.840,7.000
2,,,,NOR 2,14,14,"Neil Rackers kicks extra point good. Penalty on NOR: Defensive 12 On-field, 5 yards",0.000,0.000
2,,,,ARI 35,14,14,"Neil Rackers kicks off 69 yards, returned by Pierre Thomas for 24 yards (tackle by Monty Beisel)",0.000,0.280
2,9:56,1,10,NOR 20,14,14,Aaron Stecker left guard for 3 yards (tackle by Alan Branch and Gerald Hayes),0.280,0.140
2,9:20,2,7,NOR 23,14,14,Drew Brees pass incomplete (defended by Karlos Dansby),0.140,-0.560
2,9:14,3,7,NOR 23,14,14,Drew Brees sacked by Gerald Hayes for -8 yards,-0.560,-2.440
2,8:51,4,15,NOR 15,14,14,"Steve Weatherford punts 44 yards, returned by Steve Breaston for -3 yards (tackle by Brian Simmons)",-2.440,-1.470
2,8:36,1,10,ARI 38,14,14,J.J. Arrington right end for 4 yards (tackle by Scott Fujita and Charles Grant),1.470,1.460
2,8:10,2,6,ARI 42,14,14,Edgerrin James right guard for 7 yards (tackle by Scott Shanle),1.460,2.190
2,7:33,1,10,ARI 49,14,14,Edgerrin James left tackle for 6 yards (tackle by Josh Cooper and Scott Fujita),2.190,2.460
2,6:49,2,4,NOR 45,14,14,Kurt Warner pass incomplete deep left intended for Bryant Johnson (defended by Kevin Kaesviharn),2.460,1.750
2,6:39,3,4,NOR 45,14,14,Kurt Warner pass complete short right to Steve Breaston for 3 yards (tackle by Jason Craft),1.750,0.460
2,5:58,4,1,NOR 42,14,14,"Mitch Berger punts 29 yards, muffed catch by Lance Moore, recovered by Lance Moore and returned for no gain",0.460,0.320
2,5:48,1,10,NOR 13,14,14,Drew Brees pass complete short right to Marques Colston for 4 yards (tackle by Roderick Hood),-0.320,-0.300
2,5:08,2,6,NOR 17,14,14,Aaron Stecker right tackle for 2 yards (tackle by Karlos Dansby),-0.300,-0.710
2,4:28,3,4,NOR 19,14,14,Drew Brees pass complete short right to David Patten for 2 yards (tackle by Karlos Dansby),-0.710,-1.960
2,3:50,4,2,NOR 21,14,14,"Steve Weatherford punts 53 yards, returned by Steve Breaston for 29 yards (tackle by Steve Weatherford)",-1.960,-2.590
2,3:34,1,10,NOR 45,14,14,Kurt Warner pass incomplete deep middle intended for Troy Bienemann is intercepted by Roman Harper at NOR-14 and returned for 31 yards (tackle by Edgerrin James),2.590,-1.930
2,3:20,1,10,NOR 45,14,14,Aaron Stecker left guard for 4 yards (tackle by Calvin Pace),1.930,1.920
2,2:47,2,6,NOR 49,14,14,Drew Brees pass incomplete short middle intended for Terrance Copper (defended by Gabe Watson),1.920,1.220
2,2:42,3,6,NOR 49,14,14,Drew Brees pass complete short middle to Marques Colston for 19 yards (tackle by Antrel Rolle),1.220,3.450
2,2:03,1,10,ARI 32,14,20,"Drew Brees pass complete deep right to David Patten for 32 yards, touchdown",3.450,7.000
2,,,,ARI 2,14,21,Martin Gramatica kicks extra point good,0.000,0.000
2,,,,NOR 30,14,21,Martin Gramatica kicks off 69 yards,0.000,1.600
2,1:56,1,10,ARI 40,14,21,J.J. Arrington right guard for 1 yard (tackle by Charles Grant),1.600,1.190
2,1:29,2,9,ARI 41,14,21,"Kurt Warner pass incomplete short right intended for Larry Fitzgerald. Penalty on Mike Gandy: Offensive Holding, 10 yards (no play)",1.190,-0.160
2,1:25,2,19,ARI 31,14,21,"Kurt Warner pass complete short middle to Anquan Boldin for 9 yards (tackle by Jason David). Penalty on Mike Gandy: Offensive Holding, 10 yards (no play)",-0.160,-1.510
2,1:17,2,29,ARI 21,14,21,Kurt Warner pass complete short middle to Anquan Boldin for 13 yards (tackle by Scott Fujita),-1.510,-0.430
2,1:11,,,,14,21,Timeout #2 by New Orleans Saints,0.000,0.000
2,1:11,,,,14,21,Timeout #2 by Arizona Cardinals,0.000,-0.430
2,1:11,3,16,ARI 34,14,21,Kurt Warner pass complete deep middle to Bryant Johnson for 22 yards (tackle by Roman Harper),-0.430,2.650
2,0:41,1,10,NOR 44,14,21,Kurt Warner pass incomplete intended for Edgerrin James,2.650,2.110
2,0:37,2,10,NOR 44,14,21,"Kurt Warner pass complete short left to J.J. Arrington for -1 yards (tackle by Scott Shanle). Penalty on Charles Grant: Defensive Offside, 5 yards (no play)",2.110,2.780
2,0:31,2,5,NOR 39,14,21,"Kurt Warner pass incomplete. Penalty on Kurt Warner: Intentional Grounding, 10 yards",2.780,0.760
2,0:12,3,15,NOR 49,14,21,Kurt Warner pass complete short right to Steve Breaston for 13 yards (tackle by Jason David),0.760,0.890
2,0:04,4,2,NOR 36,14,21,Neil Rackers 54 yard field goal no good,0.890,1.800
Quarter,Time,Down,ToGo,Location,ARI,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 30,14,21,"Martin Gramatica kicks off 65 yards, returned by Steve Breaston for 27 yards (tackle by Usama Young)",0.000,1.070
3,14:53,1,10,ARI 32,14,21,Edgerrin James left guard for 5 yards (tackle by Will Smith and Mark Simoneau),1.070,1.200
3,14:11,,,,14,21,Timeout #1 by Arizona Cardinals,0.000,1.200
3,14:11,2,5,ARI 37,14,21,Kurt Warner pass complete short right to J.J. Arrington for 13 yards (tackle by Mark Simoneau),1.200,2.260
3,13:35,1,10,,14,21,"Kurt Warner for no gain. Kurt Warner fumbles, recovered by Kurt Warner at ARI-49",2.260,1.580
3,13:03,2,11,ARI 49,14,21,Kurt Warner pass incomplete short right intended for Larry Fitzgerald,1.580,0.890
3,12:58,3,11,ARI 49,14,21,"Kurt Warner sacked by Scott Fujita for -9 yards. Kurt Warner fumbles (forced by Scott Fujita), recovered by Scott Shanle at ARI-40 (tackle by Levi Brown). Penalty on J.J. Arrington: Chop Block, 7 yards",0.890,-5.600
3,12:46,1,7,ARI 7,14,21,David Patten right end for 1 yard (tackle by Aaron Francisco),5.600,4.950
3,12:06,2,6,ARI 6,14,27,"Aaron Stecker right guard for 6 yards, touchdown",4.950,7.000
3,,,,,14,27,"Penalty on Terrence Holt: Neutral Zone Infraction, 5 yards",0.000,0.000
3,,,,ARI 2,14,28,"Martin Gramatica kicks extra point good. Penalty on Antrel Rolle: Neutral Zone Infraction, 5 yards",0.000,0.000
3,,,,NOR 40,14,28,"Martin Gramatica kicks off 60 yards, touchback",0.000,0.280
3,12:02,1,10,ARI 20,14,28,Kurt Warner pass complete short right to Anquan Boldin for 7 yards (tackle by Jason David),0.280,0.680
3,11:22,2,3,ARI 27,14,28,Kurt Warner pass complete short left to Terrelle Smith for 14 yards (tackle by Scott Fujita),0.680,1.660
3,10:34,1,10,ARI 41,14,28,Kurt Warner pass complete short right to Anquan Boldin for 10 yards (tackle by Jason David),1.660,2.320
3,10:02,1,10,NOR 49,14,28,Kurt Warner pass complete short middle to Ben Patrick for 14 yards (tackle by Jason David),2.320,3.250
3,9:17,1,10,NOR 35,14,28,Kurt Warner pass complete short right to Bryant Johnson for 13 yards (tackle by Scott Fujita),3.250,4.110
3,8:34,1,10,NOR 22,14,28,"Penalty on Reggie Wells: False Start, 5 yards (no play)",4.110,3.780
3,8:15,1,15,NOR 27,14,28,Edgerrin James left guard for 14 yards (tackle by Scott Shanle),3.780,5.060
3,7:37,2,1,NOR 13,14,28,Edgerrin James left guard for 6 yards (tackle by Will Smith),5.060,5.600
3,7:01,1,7,NOR 7,14,28,Edgerrin James right end for 4 yards (tackle by Jason David and Mark Simoneau),5.600,5.530
3,6:27,2,3,NOR 3,14,28,Kurt Warner pass incomplete short left intended for Ben Patrick (defended by Kevin Kaesviharn),5.530,4.720
3,6:21,,,,14,28,Timeout #2 by Arizona Cardinals,0.000,4.720
3,6:21,3,3,NOR 3,20,28,"Kurt Warner pass complete short left to Ben Patrick for 3 yards, touchdown",4.720,7.000
3,,,,NOR 2,21,28,Neil Rackers kicks extra point good,0.000,0.000
3,,,,ARI 30,21,28,"Neil Rackers kicks off 70 yards, returned by Pierre Thomas for 20 yards (tackle by Troy Bienemann)",0.000,0.280
3,6:09,1,10,NOR 20,21,28,Drew Brees pass complete short left to Aaron Stecker for 16 yards (tackle by Gerald Hayes),0.280,1.330
3,5:42,1,10,NOR 36,21,28,Drew Brees pass complete short left to David Patten for 11 yards (tackle by Antrel Rolle),1.330,2.060
3,5:16,1,10,NOR 47,21,28,Drew Brees pass complete short right to Marques Colston for 21 yards (tackle by Aaron Francisco),2.060,3.450
3,4:41,1,10,ARI 32,21,28,Aaron Stecker right tackle for 8 yards (tackle by Aaron Francisco),3.450,3.980
3,3:57,2,2,ARI 24,21,28,Aaron Stecker left guard for 1 yard (tackle by Calvin Pace and Alan Branch),3.980,3.400
3,3:18,3,1,ARI 23,21,28,"Penalty on Antonio Smith: Unsportsmanlike Conduct, 11 yards (no play)",3.400,4.780
3,3:00,1,10,ARI 12,21,28,Aaron Stecker right end for 3 yards (tackle by Gerald Hayes),4.780,4.640
3,2:19,2,7,ARI 9,21,28,"Drew Brees for no gain. Drew Brees fumbles, recovered by Aaron Stecker at ARI-15",4.640,3.000
3,1:37,,,,21,28,Timeout #1 by New Orleans Saints,0.000,3.000
3,1:37,3,13,ARI 15,21,28,Drew Brees pass complete short left to Pierre Thomas for 2 yards (tackle by Terrence Holt),3.000,2.570
3,0:54,4,11,ARI 13,21,31,Martin Gramatica 31 yard field goal good,2.570,3.000
3,,,,NOR 30,21,31,"Martin Gramatica kicks off 69 yards, returned by Steve Breaston for 21 yards (tackle by Marvin Mitchell)",0.000,0.410
3,0:43,1,10,ARI 22,21,31,Kurt Warner sacked by Scott Fujita for -10 yards,0.410,-1.510
3,0:13,2,20,ARI 12,21,31,Edgerrin James left tackle for 2 yards (tackle by Will Smith and Scott Fujita),-1.510,-2.240
Quarter,Time,Down,ToGo,Location,ARI,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,18,ARI 14,21,31,Kurt Warner pass complete short left to Edgerrin James for 11 yards (tackle by Scott Shanle),-2.240,-1.700
4,14:20,4,7,ARI 25,21,31,Sean Morey right end for 13 yards (tackle by Usama Young and Troy Evans),-1.700,1.470
4,13:34,1,10,ARI 38,21,31,Edgerrin James right tackle for 2 yards (tackle by Mark Simoneau and Kendrick Clancy),1.470,1.190
4,12:53,2,8,ARI 40,21,31,Kurt Warner pass complete short middle to Anquan Boldin for 22 yards (tackle by Kevin Kaesviharn),1.190,3.050
4,12:11,1,10,NOR 38,21,31,Kurt Warner pass complete deep right to Anquan Boldin for 25 yards (tackle by Mike McKenzie),3.050,4.710
4,11:25,1,10,NOR 13,21,31,Edgerrin James left guard for 6 yards (tackle by Mark Simoneau and Scott Shanle),4.710,5.150
4,10:43,2,4,NOR 7,21,31,Edgerrin James right guard for 1 yard (tackle by Mark Simoneau and Hollis Thomas),5.150,4.560
4,10:01,3,3,NOR 6,21,31,Steve Breaston left end for -2 yards (tackle by Mike McKenzie),4.560,2.970
4,9:14,4,5,NOR 8,24,31,Neil Rackers 26 yard field goal good,2.970,3.000
4,,,,ARI 30,24,31,"Neil Rackers kicks off 69 yards, returned by Pierre Thomas for 16 yards (tackle by Sean Morey)",0.000,-0.060
4,9:03,1,10,NOR 17,24,31,Drew Brees pass complete short right to Mike Karney for 3 yards (tackle by Roderick Hood),-0.060,-0.060
4,8:43,2,7,NOR 20,24,31,Drew Brees pass complete short middle to Aaron Stecker for 10 yards (tackle by Gerald Hayes),-0.060,0.940
4,8:06,1,10,NOR 30,24,31,Aaron Stecker left guard for 5 yards (tackle by Joe Tafoya and Karlos Dansby),0.940,1.070
4,7:22,2,5,NOR 35,24,31,"Drew Brees pass complete deep left to David Patten for 26 yards (tackle by Ralph Brown). David Patten fumbles (forced by Ralph Brown), recovered by Calvin Pace at ARI-39 and returned for 4 yards (tackle by Jamar Nesbit)",1.070,-1.800
4,7:06,1,10,ARI 43,24,31,Kurt Warner pass incomplete deep left intended for Anquan Boldin (defended by Jason Craft),1.800,1.250
4,6:57,2,10,ARI 43,24,31,Edgerrin James left guard for -3 yards (tackle by Antwan Lake),1.250,0.170
4,6:11,3,13,ARI 40,24,31,Kurt Warner pass incomplete deep right intended for Jerheme Urban (defended by Kevin Kaesviharn),0.170,-0.720
4,6:04,4,13,ARI 40,24,31,Mitch Berger punts 56 yards,-0.720,0.380
4,5:54,1,10,NOR 4,24,31,Drew Brees pass complete short left to Billy Miller for 11 yards (tackle by Antrel Rolle),-0.380,-0.220
4,5:15,1,10,NOR 15,24,31,Drew Brees pass complete deep left to Marques Colston for 18 yards (tackle by Terrence Holt). Penalty on Antonio Smith: Defensive Offside (Declined),-0.220,1.140
4,4:46,1,10,NOR 33,24,31,Aaron Stecker left end for 1 yard (tackle by Gerald Hayes),1.140,0.730
4,4:05,2,9,NOR 34,24,31,Aaron Stecker left tackle for 5 yards (tackle by Darnell Dockett),0.730,0.700
4,3:20,,,,24,31,Timeout #2 by New Orleans Saints,0.000,0.700
4,3:17,3,4,NOR 39,24,31,Drew Brees pass complete short middle to Billy Miller for 22 yards (tackle by Terrence Holt),0.700,2.980
4,2:30,1,10,ARI 39,24,31,Aaron Stecker right tackle for 3 yards (tackle by Gerald Hayes),2.980,2.850
4,2:16,,,,24,31,Timeout #3 by Arizona Cardinals,0.000,2.850
4,2:16,2,7,ARI 36,24,31,Pierre Thomas right guard for 11 yards (tackle by Joe Tafoya),2.850,3.910
4,2:00,1,10,ARI 25,24,31,Drew Brees kneels for no gain,3.910,3.360
4,1:20,2,10,ARI 25,24,31,Drew Brees kneels for -1 yards,3.360,2.540
4,0:39,3,11,ARI 26,24,31,Drew Brees kneels for -1 yards,2.540,1.670
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
